,Software_Package,Pub_Year,year_count
0,AstroBlend,2016,2
1,AstroBlend,2017,3
2,AstroPy,1997,1
3,AstroPy,2000,2
4,AstroPy,2007,1
5,AstroPy,2008,1
6,AstroPy,2013,9
7,AstroPy,2014,29
8,AstroPy,2015,55
9,AstroPy,2016,112
10,AstroPy,2017,150
11,AstroPy,2018,90
12,RADMC-3D,2004,5
13,RADMC-3D,2005,5
14,RADMC-3D,2006,6
15,RADMC-3D,2007,13
16,RADMC-3D,2008,9
17,RADMC-3D,2009,16
18,RADMC-3D,2010,19
19,RADMC-3D,2011,20
20,RADMC-3D,2012,29
21,RADMC-3D,2013,31
22,RADMC-3D,2014,38
23,RADMC-3D,2015,47
24,RADMC-3D,2016,68
25,RADMC-3D,2017,65
26,RADMC-3D,2018,29
27,SAOImage DS9,1997,23
28,SAOImage DS9,1998,15
29,SAOImage DS9,1999,10
30,SAOImage DS9,2000,17
31,SAOImage DS9,2001,15
32,SAOImage DS9,2002,20
33,SAOImage DS9,2003,22
34,SAOImage DS9,2004,24
35,SAOImage DS9,2005,31
36,SAOImage DS9,2006,38
37,SAOImage DS9,2007,51
38,SAOImage DS9,2008,53
39,SAOImage DS9,2009,57
40,SAOImage DS9,2010,57
41,SAOImage DS9,2011,64
42,SAOImage DS9,2012,99
43,SAOImage DS9,2013,59
44,SAOImage DS9,2014,91
45,SAOImage DS9,2015,80
46,SAOImage DS9,2016,91
47,SAOImage DS9,2017,100
48,SAOImage DS9,2018,38
49,Spec2d,2002,1
50,Spec2d,2004,5
51,Spec2d,2005,3
52,Spec2d,2006,10
53,Spec2d,2007,13
54,Spec2d,2008,9
55,Spec2d,2009,18
56,Spec2d,2010,10
57,Spec2d,2011,20
58,Spec2d,2012,29
59,Spec2d,2013,20
60,Spec2d,2014,20
61,Spec2d,2015,24
62,Spec2d,2016,23
63,Spec2d,2017,19
64,Spec2d,2018,8
65,Stingray,2008,1
66,Stingray,2012,1
67,Stingray,2013,1
68,Stingray,2014,6
69,Stingray,2015,6
70,Stingray,2016,5
71,Stingray,2017,5
72,Stingray,2018,2
73,TARDIS,2010,2
74,TARDIS,2011,1
75,TARDIS,2012,4
76,TARDIS,2013,6
77,TARDIS,2014,15
78,TARDIS,2015,15
79,TARDIS,2016,21
80,TARDIS,2017,26
81,TARDIS,2018,1
82,WCS Tools,1997,4
83,WCS Tools,1998,1
84,WCS Tools,1999,5
85,WCS Tools,2000,2
86,WCS Tools,2001,8
87,WCS Tools,2002,12
88,WCS Tools,2003,10
89,WCS Tools,2004,13
90,WCS Tools,2005,11
91,WCS Tools,2006,12
92,WCS Tools,2007,20
93,WCS Tools,2008,16
94,WCS Tools,2009,21
95,WCS Tools,2010,29
96,WCS Tools,2011,29
97,WCS Tools,2012,25
98,WCS Tools,2013,21
99,WCS Tools,2014,15
100,WCS Tools,2015,19
101,WCS Tools,2016,16
102,WCS Tools,2017,16
103,WCS Tools,2018,4
