Alias,Software_Package,Identifier,Highlight,Citation,Bibcode,Alternate_Bibcode,BibGroup,Publisher,Article_ID,DOI,Pub_Year,Pub_Date,Author,Title
astroblend.com,Astroblend,0,"#x2014; www.<em>astroblend.com</em> #x2014; has been developed which includes tutorials, and a gallery of example on the AstroBlend website#x2019;s #x201c;Getting Started#x201d; page.1212http:&#x2F;&#x2F;www.<em>astroblend.com</em> here: <em>http:&#x2F;&#x2F;www.astroblend.com&#x2F;tutorials&#x2F;tutorial_callingytdirectly.html.</em> The parameters used in generating AMR surfaces and SPH point clouds determine the shape and color through these external formats is relegated to the online tutorials found on www.<em>astroblend.com</em>",FALSE,2016A&C....15...50N,2016arXiv160203178N,CfA,Astronomy and Computing,2016arXiv160203178N|2016A&C....15...50N|10.1016/j.ascom.2016.02.002|10.1016/j.ascom.2016.02.002|arXiv:1602.03178|2016arXiv160203178N,10.1016/j.ascom.2016.02.002,2016,2016-04-00,"Naiman, J. P.",AstroBlend: An astrophysical visualization package for Blender
astroblend.com,Astroblend,0,"AstroBlend6 6 <em>www.astroblend.com&#x2F;</em> , developed by Naiman (2016), provides further tools to import",TRUE,2017PASP..129e8010G,2016arXiv161106965G,,Publications of the Astronomical Society of the Pacific,2016arXiv161106965G|2017PASP..129e8010G|10.1088/1538-3873/129/975/058010|10.1088/1538-3873/129/975/058010|2016arXiv161106965G|arXiv:1611.06965,10.1088/1538-3873/129/975/058010,2017,2017-05-00,"Gárate, Matías",Voxel Datacubes for 3D Visualization in Blender
astroblend.com,Astroblend,0,"-passing the X3D file format altogether), we refer the interested reader to the astroblend project.26 26 http:&#x2F;&#x2F;www.<em>astroblend.com</em>",FALSE,2016ApJ...818..115V,2015arXiv151002796V,,The Astrophysical Journal,2015arXiv151002796V|2016ApJ...818..115V|10.3847/0004-637X/818/2/115|10.3847/0004-637X/818/2/115|arXiv:1510.02796|2015arXiv151002796V,10.3847/0004-637X/818/2/115,2016,2016-02-00,"Vogt, Frédéric P. A.",Advanced Data Visualization in Astrophysics: The X3D Pathway
AstroBlend,Astroblend,0,"of this article.)Fig.9Isocontours generated with <em>AstroBlend</em> can be used in 3D printing. The isodensity contour Here, I present <em>AstroBlend,</em> an open-source Python library for use within the three dimensional modeling artists, in recent years it has also become a tool for visualizing astrophysical datasets. <em>AstroBlend</em> #x2014; www.<em>astroblend</em>.com #x2014; has been developed which includes tutorials, and a gallery of example",FALSE,2016A&C....15...50N,2016arXiv160203178N,CfA,Astronomy and Computing,2016arXiv160203178N|2016A&C....15...50N|10.1016/j.ascom.2016.02.002|10.1016/j.ascom.2016.02.002|arXiv:1602.03178|2016arXiv160203178N,10.1016/j.ascom.2016.02.002,2016,2016-04-00,"Naiman, J. P.",AstroBlend: An astrophysical visualization package for Blender
AstroBlend,Astroblend,0,"From that perspective, recent efforts like frelled (Taylor 2015) and <em>astroblend</em> (Naiman 2016) aiming at bringing blender or not, whether tools such as <em>astroblend</em> and frelled will become increasingly popular within our community,",TRUE,2017PASP..129e8012V,2016arXiv161103862V,,Publications of the Astronomical Society of the Pacific,2016arXiv161103862V|2017PASP..129e8012V|10.1088/1538-3873/129/975/058012|10.1088/1538-3873/129/975/058012|2016arXiv161103862V|arXiv:1611.03862,10.1088/1538-3873/129/975/058012,2017,2017-05-00,"Vogt, Frédéric P. A.",Linking the X3D Pathway to Integral Field Spectrographs: YSNR 1E 0102.2-7219 in the SMC as a Case Study
AstroBlend,Astroblend,0,"-passing the X3D file format altogether), we refer the interested reader to the <em>astroblend</em> project.26 26 http:&#x2F;&#x2F;www.<em>astroblend</em>",FALSE,2016ApJ...818..115V,2015arXiv151002796V,,The Astrophysical Journal,2015arXiv151002796V|2016ApJ...818..115V|10.3847/0004-637X/818/2/115|10.3847/0004-637X/818/2/115|arXiv:1510.02796|2015arXiv151002796V,10.3847/0004-637X/818/2/115,2016,2016-02-00,"Vogt, Frédéric P. A.",Advanced Data Visualization in Astrophysics: The X3D Pathway
AstroBlend,Astroblend,0,"AstroBlend6 6 <em>www.astroblend.com&#x2F;</em> , developed by Naiman (2016), provides further tools to import",TRUE,2017PASP..129e8010G,2016arXiv161106965G,,Publications of the Astronomical Society of the Pacific,2016arXiv161106965G|2017PASP..129e8010G|10.1088/1538-3873/129/975/058010|10.1088/1538-3873/129/975/058010|2016arXiv161106965G|arXiv:1611.06965,10.1088/1538-3873/129/975/058010,2017,2017-05-00,"Gárate, Matías",Voxel Datacubes for 3D Visualization in Blender
AstroBlend,Astroblend,0,on Big Data from Space (BiDS 2014)2014232235Naiman <em>(2016)NaimanJ.P.AstroBlend:</em> An astrophysical,TRUE,2017A&C....19...45P,2017arXiv170306651P,,Astronomy and Computing,2017arXiv170306651P|2017A&C....19...45P|10.1016/j.ascom.2017.03.004|arXiv:1703.06651|2017arXiv170306651P|10.1016/j.ascom.2017.03.004,10.1016/j.ascom.2017.03.004,2017,2017-04-00,"Punzo, D.",SlicerAstro: A 3-D interactive visual analytics tool for HI data
astropy.org,Astropy,0,"incompatible. This led to the creation (in fall 2011) of Astropy <em>(http:&#x2F;&#x2F;www.astropy.org),</em> an effort to foster <em>(http:&#x2F;&#x2F;affiliated.astropy.org).</em> Astropy also provides a template (http:&#x2F;&#x2F;github.com&#x2F;astropy&#x2F;package-template) that simplifies package documentation <em>(http:&#x2F;&#x2F;docs.astropy.org).</em> Development of the core package has occurred entirely",TRUE,2013ASPC..475..241T,2013adass..22..241T,,Astronomical Data Analysis Software and Systems XXII,2013adass..22..241T|2013ASPC..475..241T|2013adass..22..241T,,2013,2013-10-00,"Tollerud, E. J.",The Astropy Project: A Community Python Library for Astrophysics
astropy.org,Astropy,0,"a clean, 1 http:&#x2F;&#x2F;www.<em>astropy.org</em>&#x2F;affiliated&#x2F;index.html 346 Bray consistent, and stable API; &amp; Engineering, 13, 22 2 http:&#x2F;&#x2F;docs.<em>astropy.org</em>",FALSE,2014ASPC..485..343B,2014adass..23..343B,,Astronomical Data Analysis Software and Systems XXIII,2014adass..23..343B|2014ASPC..485..343B|2014adass..23..343B,,2014,2014-05-00,"Bray, E. M.",Astropy: Building Blocks for Astronomy Software
astropy.org,Astropy,0,http:&#x2F;&#x2F;docs.<em>astropy.org</em> There are several practical algorithms useful for observation planning:&#x2F;&#x2F;docs.<em>astropy</em>.<em>org</em>&#x2F;en&#x2F;stable&#x2F;development&#x2F;workflow&#x2F;development_workflow.html 3. Documentation 3.1.,FALSE,2018AJ....155..128M,2017arXiv171209631M,CfA,The Astronomical Journal,2017arXiv171209631M|2018AJ....155..128M|10.3847/1538-3881/aaa47e|arXiv:1712.09631|2017arXiv171209631M|10.3847/1538-3881/aaa47e,10.3847/1538-3881/aaa47e,2018,2018-03-00,"Morris, Brett M.",astroplan: An Open Source Observation Planning Package in Python
astropy.org,Astropy,0,<em>http:&#x2F;&#x2F;www.astropy.org&#x2F;</em> 6 http:&#x2F;&#x2F;www.suny.edu&#x2F;attend&#x2F;get-started&#x2F;transfer-students&#x2F;suny-transfer,FALSE,2016arXiv160602242Z,,,arXiv e-prints,2016arXiv160602242Z|arXiv:1606.02242,,2016,2016-06-00,"Zingale, M.",The Importance of Computation in Astronomy Education
astropy.org,Astropy,0,"† <em>http:&#x2F;&#x2F;www.astropy.org&#x2F;;</em> https:&#x2F;&#x2F;aplpy.github.io&#x2F; 1 2 I. S. Bojičić, Q. A. Parker &amp; D. J. Frew Figure 1. HASH system",FALSE,2017IAUS..323..327B,2016arXiv161201521B,,Planetary Nebulae: Multi-Wavelength Probes of Stellar and Galactic Evolution,2016arXiv161201521B|2017IAUS..323..327B|10.1017/S1743921317003234|2016arXiv161201521B|10.1017/S1743921317003234|arXiv:1612.01521,10.1017/S1743921317003234,2017,2017-10-00,"Bojičić, Ivan S.",The Hong Kong/AAO/Strasbourg Hα (HASH) Planetary Nebula Database
astropy.org,Astropy,0,http:&#x2F;&#x2F;astrocompute.wordpress.com&#x2F; 5 http:&#x2F;&#x2F;www.astrobetter.com&#x2F; 6 <em>http:&#x2F;&#x2F;www.astropy.org&#x2F;</em> 7 https:&#x2F;&#x2F;groups,FALSE,2013ASPC..475..383A,2013adass..22..383A|2012arXiv1212.1915A,,Astronomical Data Analysis Software and Systems XXII,2013adass..22..383A|2012arXiv1212.1915A|2013ASPC..475..383A|2013adass..22..383A|arXiv:1212.1915|2012arXiv1212.1915A,,2013,2013-10-00,"Allen, A.",Bring out your codes! Bring out your codes! (Increasing Software Visibility and Re-use)
astropy.org,Astropy,0,such as Astropy <em>(http:&#x2F;&#x2F;www.astropy.org&#x2F;)</em> and its adoption by major projects such as LSST and JWST. The growth,TRUE,2017ASPC..512...81B,2016arXiv160802649B|2018ASPC..512...81B|2017adass..25...81B,,Astronomical Data Analysis Software and Systems XXV,2016arXiv160802649B|2018ASPC..512...81B|2017adass..25...81B|2017ASPC..512...81B|arXiv:1608.02649|2016arXiv160802649B|2018ASPC..512...81B|2017adass..25...81B,,2017,2017-12-00,"Berriman, G. B.",The Next Generation of the Montage Image Mosaic Toolkit.
astropy.org,Astropy,0,library for astronomy.” <em>http:&#x2F;&#x2F;www.astropy.org&#x2F;.</em> [3] “Pyephem basic astronomical computations,FALSE,2014SPIE.9145E..3VG,,,Ground-based and Airborne Telescopes V,2014SPIE.9145E..3VG|10.1117/12.2057288|10.1117/12.2057288,10.1117/12.2057288,2014,2014-07-00,"Guyon, Olivier",The PANOPTES project: discovering exoplanets with low-cost digital cameras
astropy.org,Astropy,0,and the bulge of our galaxy. We developed a suite of tools using astropy 17 17 http:&#x2F;&#x2F;www.<em>astropy.org</em>,FALSE,2016ApJ...824...83B,2016arXiv160101846B,NOAO|Keck|ESO/Telescopes|Subaru|CfA,The Astrophysical Journal,2016arXiv160101846B|2016ApJ...824...83B|10.3847/0004-637X/824/2/83|2016arXiv160101846B|arXiv:1601.01846|10.3847/0004-637X/824/2/83,10.3847/0004-637X/824/2/83,2016,2016-06-00,"Beaulieu, J. -P.",Revisiting the Microlensing Event OGLE 2012-BLG-0026: A Solar Mass Star with Two Cold Giant Planets
astropy.org,Astropy,0,<em>http:&#x2F;&#x2F;www.astropy.org&#x2F;</em> 8 https:&#x2F;&#x2F;pyvo.readthedocs.io&#x2F;en&#x2F;latest&#x2F; 7 Looking for infrared counterparts of Fermi,FALSE,2017ICRC...35..600L,2017arXiv170910168L|2017PoS...301..600L,,International Cosmic Ray Conference,2017arXiv170910168L|2017PoS...301..600L|2017ICRC...35..600L|2017arXiv170910168L|arXiv:1709.10168|2017PoS...301..600L,,2017,2017-01-00,"Lefaucheur, J.",Looking for infrared counterparts of Fermi/LAT blazar candidates
astropy.org,Astropy,0,[30] (http:&#x2F;&#x2F;gambit.sourceforge.net&#x2F;)). • Astrophysics [1] <em>(http:&#x2F;&#x2F;www.astropy.org&#x2F;);</em> • Data,TRUE,2016arXiv160400896K,,,arXiv e-prints,2016arXiv160400896K|arXiv:1604.00896,,2016,2016-04-00,"Knight, Vincent",An open reproducible framework for the study of the iterated prisoner's dilemma
astropy.org,Astropy,0,-2.seti.org&#x2F;tools&#x2F;ephem2_jup.html Pyephem: http:&#x2F;&#x2F;www.<em>astropy.org</em> ALPO Japan: http:&#x2F;&#x2F;alpo-j.asahikawa-med.ac.jp&#x2F;Latest&#x2F;Jupiter.htm PVOL:,FALSE,2016EJPh...37f5601O,,,European Journal of Physics,2016EJPh...37f5601O|10.1088/0143-0807/37/6/065601|10.1088/0143-0807/37/6/065601,10.1088/0143-0807/37/6/065601,2016,2016-11-00,"Ordonez-Etxeberria, I.",Introducing gravitational resonances from simple observations of Jupiter’s Galilean satellites
