Alias,Software_Package,Identifier,Highlight,Citation,Bibcode,Alternate_Bibcode,BibGroup,Publisher,Article_ID,DOI,Pub_Year,Pub_Date,Author,Title
astropy.org,Astropy,0,http:&#x2F;&#x2F;docs.<em>astropy.org</em> There are several practical algorithms useful for observation planning:&#x2F;&#x2F;docs.<em>astropy</em>.<em>org</em>&#x2F;en&#x2F;stable&#x2F;development&#x2F;workflow&#x2F;development_workflow.html 3. Documentation 3.1.,FALSE,2018AJ....155..128M,2017arXiv171209631M,CfA,The Astronomical Journal,2017arXiv171209631M|2018AJ....155..128M|10.3847/1538-3881/aaa47e|arXiv:1712.09631|2017arXiv171209631M|10.3847/1538-3881/aaa47e,10.3847/1538-3881/aaa47e,2018,2018-03-00,"Morris, Brett M.",astroplan: An Open Source Observation Planning Package in Python
astropy.org,Astropy,0,simulation. Halotools is an affiliated package23 23 http:&#x2F;&#x2F;www.<em>astropy.org</em>&#x2F;affiliated of Astropy.,FALSE,2017AJ....154..190H,2016arXiv160604106H,CfA,The Astronomical Journal,2016arXiv160604106H|2017AJ....154..190H|10.3847/1538-3881/aa859f|2016arXiv160604106H|10.3847/1538-3881/aa859f|arXiv:1606.04106,10.3847/1538-3881/aa859f,2017,2017-11-00,"Hearin, Andrew P.",Forward Modeling of Large-scale Structure: An Open-source Approach with Halotools
astropy.org,Astropy,0,and the astropy cosmology package53 53 http:&#x2F;&#x2F;www.<em>astropy.org</em> to calculate the absolute i-band magnitude Mi,FALSE,2017AJ....153..107T,2016arXiv161105456T,NOAO|ESO/Telescopes|CFHT,The Astronomical Journal,2016arXiv161105456T|2017AJ....153..107T|10.3847/1538-3881/aa5b8d|10.3847/1538-3881/aa5b8d|2016arXiv161105456T|arXiv:1611.05456,10.3847/1538-3881/aa5b8d,2017,2017-03-00,"Tie, S. S.",A Study of Quasar Selection in the Supernova Fields of the Dark Energy Survey
github.com/astropy/astroplan,Astropy,0,"<em>https:&#x2F;&#x2F;github.com&#x2F;astropy&#x2F;astroplan,</em> static Zenodo archive: https:&#x2F;&#x2F;doi.org&#x2F;10.5281&#x2F;zenodo.1035883. where users can contribute new",FALSE,2018AJ....155..128M,2017arXiv171209631M,CfA,The Astronomical Journal,2017arXiv171209631M|2018AJ....155..128M|10.3847/1538-3881/aaa47e|arXiv:1712.09631|2017arXiv171209631M|10.3847/1538-3881/aaa47e,10.3847/1538-3881/aaa47e,2018,2018-03-00,"Morris, Brett M.",astroplan: An Open Source Observation Planning Package in Python
astropy/astroplan,Astropy,0,"<em>https:&#x2F;&#x2F;github.com&#x2F;astropy&#x2F;astroplan,</em> static Zenodo archive: https:&#x2F;&#x2F;doi.org&#x2F;10.5281&#x2F;zenodo.1035883. where users can contribute new may be printed if <em>astropy</em> or <em>astroplan</em> need to update the International Earth Rotation and Reference Systems with time, <em>astropy</em> (and therefore <em>astroplan)</em> use constantly updated tables from the IERS, which specify",TRUE,2018AJ....155..128M,2017arXiv171209631M,CfA,The Astronomical Journal,2017arXiv171209631M|2018AJ....155..128M|10.3847/1538-3881/aaa47e|arXiv:1712.09631|2017arXiv171209631M|10.3847/1538-3881/aaa47e,10.3847/1538-3881/aaa47e,2018,2018-03-00,"Morris, Brett M.",astroplan: An Open Source Observation Planning Package in Python
github.com/astropy/astroquery,Astropy,0,"and 0.234 for r, i, and W1, respectively.6 6 https:&#x2F;&#x2F;<em>github</em>.<em>com</em>&#x2F;<em>astropy</em>&#x2F;<em>astroquery</em>&#x2F;blob&#x2F;master",FALSE,2017AJ....153...58N,2016arXiv160401051N,Spitzer|CFHT,The Astronomical Journal,2016arXiv160401051N|2017AJ....153...58N|10.3847/1538-3881/153/2/58|arXiv:1604.01051|10.3847/1538-3881/153/2/58|2016arXiv160401051N,10.3847/1538-3881/153/2/58,2017,2017-02-00,"Núñez, Carolina",Photometric Selection of a Massive Galaxy Catalog with z ≥ 0.55
astropy/astroquery,Astropy,0,"and 0.234 for r, i, and W1, respectively.6 6 https:&#x2F;&#x2F;github.com&#x2F;<em>astropy</em>&#x2F;<em>astroquery</em>&#x2F;blob&#x2F;master",FALSE,2017AJ....153...58N,2016arXiv160401051N,Spitzer|CFHT,The Astronomical Journal,2016arXiv160401051N|2017AJ....153...58N|10.3847/1538-3881/153/2/58|arXiv:1604.01051|10.3847/1538-3881/153/2/58|2016arXiv160401051N,10.3847/1538-3881/153/2/58,2017,2017-02-00,"Núñez, Carolina",Photometric Selection of a Massive Galaxy Catalog with z ≥ 0.55
github.com/astropy/halotools,Astropy,0,"has been written in fully public view on <em>https:&#x2F;&#x2F;github.com&#x2F;astropy&#x2F;halotools,</em> in the spirit of open science. but at any given time the master branch of the code on https:&#x2F;&#x2F;<em>github.com&#x2F;astropy&#x2F;halotools</em> may have features The public repository https:&#x2F;&#x2F;<em>github.com&#x2F;astropy&#x2F;halotools</em> has a webhook set up",FALSE,2017AJ....154..190H,2016arXiv160604106H,CfA,The Astronomical Journal,2016arXiv160604106H|2017AJ....154..190H|10.3847/1538-3881/aa859f|2016arXiv160604106H|10.3847/1538-3881/aa859f|arXiv:1606.04106,10.3847/1538-3881/aa859f,2017,2017-11-00,"Hearin, Andrew P.",Forward Modeling of Large-scale Structure: An Open-source Approach with Halotools
astropy/halotools,Astropy,0,"has been written in fully public view on <em>https:&#x2F;&#x2F;github.com&#x2F;astropy&#x2F;halotools,</em> in the spirit of open science. of the code can be installed via pip install halotools or via conda install-c <em>astropy</em> <em>halotools,</em> but at any given time the master branch of the code on https:&#x2F;&#x2F;github.com&#x2F;<em>astropy&#x2F;halotools</em> may have features The public repository https:&#x2F;&#x2F;github.com&#x2F;<em>astropy&#x2F;halotools</em> has a webhook set up",FALSE,2017AJ....154..190H,2016arXiv160604106H,CfA,The Astronomical Journal,2016arXiv160604106H|2017AJ....154..190H|10.3847/1538-3881/aa859f|2016arXiv160604106H|10.3847/1538-3881/aa859f|arXiv:1606.04106,10.3847/1538-3881/aa859f,2017,2017-11-00,"Hearin, Andrew P.",Forward Modeling of Large-scale Structure: An Open-source Approach with Halotools
github.com/astropy,Astropy,0,"has been written in fully public view on <em>https:&#x2F;&#x2F;github.com&#x2F;astropy&#x2F;halotools,</em> in the spirit of open science. but at any given time the master branch of the code on https:&#x2F;&#x2F;<em>github.com&#x2F;astropy</em>&#x2F;halotools may have features The public repository https:&#x2F;&#x2F;<em>github.com&#x2F;astropy</em>&#x2F;halotools has a webhook set up",FALSE,2017AJ....154..190H,2016arXiv160604106H,CfA,The Astronomical Journal,2016arXiv160604106H|2017AJ....154..190H|10.3847/1538-3881/aa859f|2016arXiv160604106H|10.3847/1538-3881/aa859f|arXiv:1606.04106,10.3847/1538-3881/aa859f,2017,2017-11-00,"Hearin, Andrew P.",Forward Modeling of Large-scale Structure: An Open-source Approach with Halotools
