Software_Package,Pub_Year,year_count
Astroblend,2016,2
Astroblend,2017,3
Astropy,1997,1
Astropy,2000,2
Astropy,2007,1
Astropy,2013,9
Astropy,2014,29
Astropy,2015,57
Astropy,2016,113
Astropy,2017,158
Astropy,2018,67
RADMC-3D,2004,5
RADMC-3D,2005,5
RADMC-3D,2006,6
RADMC-3D,2007,13
RADMC-3D,2008,9
RADMC-3D,2009,16
RADMC-3D,2010,19
RADMC-3D,2011,20
RADMC-3D,2012,29
RADMC-3D,2013,32
RADMC-3D,2014,38
RADMC-3D,2015,48
RADMC-3D,2016,71
RADMC-3D,2017,66
RADMC-3D,2018,27
SAOImage DS9,1997,25
SAOImage DS9,1998,16
SAOImage DS9,1999,10
SAOImage DS9,2000,18
SAOImage DS9,2001,18
SAOImage DS9,2002,20
SAOImage DS9,2003,22
SAOImage DS9,2004,27
SAOImage DS9,2005,32
SAOImage DS9,2006,38
SAOImage DS9,2007,51
SAOImage DS9,2008,53
SAOImage DS9,2009,57
SAOImage DS9,2010,58
SAOImage DS9,2011,66
SAOImage DS9,2012,99
SAOImage DS9,2013,61
SAOImage DS9,2014,93
SAOImage DS9,2015,82
SAOImage DS9,2016,94
SAOImage DS9,2017,105
SAOImage DS9,2018,35
Spec2d,2002,1
Spec2d,2003,3
Spec2d,2004,7
Spec2d,2005,8
Spec2d,2006,17
Spec2d,2007,24
Spec2d,2008,12
Spec2d,2009,22
Spec2d,2010,15
Spec2d,2011,28
Spec2d,2012,37
Spec2d,2013,31
Spec2d,2014,25
Spec2d,2015,34
Spec2d,2016,35
Spec2d,2017,22
Spec2d,2018,7
Stringray,1997,1
Stringray,1998,5
Stringray,1999,10
Stringray,2000,5
Stringray,2001,3
Stringray,2002,3
Stringray,2003,3
Stringray,2004,6
Stringray,2005,3
Stringray,2006,6
Stringray,2007,2
Stringray,2008,6
Stringray,2009,5
Stringray,2010,9
Stringray,2011,11
Stringray,2012,11
Stringray,2013,32
Stringray,2014,39
Stringray,2015,34
Stringray,2016,45
Stringray,2017,57
Stringray,2018,23
TARDIS,1997,1
TARDIS,1998,1
TARDIS,1999,1
TARDIS,2001,1
TARDIS,2002,2
TARDIS,2003,1
TARDIS,2006,2
TARDIS,2008,1
TARDIS,2009,1
TARDIS,2010,2
TARDIS,2011,1
TARDIS,2012,4
TARDIS,2013,7
TARDIS,2014,17
TARDIS,2015,16
TARDIS,2016,25
TARDIS,2017,28
TARDIS,2018,5
WCSTools,1997,4
WCSTools,1998,1
WCSTools,1999,5
WCSTools,2000,2
WCSTools,2001,9
WCSTools,2002,13
WCSTools,2003,10
WCSTools,2004,14
WCSTools,2005,11
WCSTools,2006,13
WCSTools,2007,21
WCSTools,2008,17
WCSTools,2009,21
WCSTools,2010,32
WCSTools,2011,29
WCSTools,2012,29
WCSTools,2013,23
WCSTools,2014,16
WCSTools,2015,20
WCSTools,2016,20
WCSTools,2017,20
WCSTools,2018,4
