DOI,Alias
10.1086/118407,1
10.1086/300314,1
10.1086/300338,1
10.1086/300462,1
10.1086/300535,1
10.1086/300997,1
10.1086/301090,1
10.1086/301493,5
10.1086/304882,1
10.1086/307059,1
10.1086/308208,1
10.1086/312617,1
10.1086/313204,1
10.1086/318776,1
10.1086/320409,1
10.1086/321176,1
10.1086/321561,1
10.1086/321592,1
10.1086/321790,1
10.1086/322094,1
10.1086/322341,1
10.1086/324741,2
10.1086/338320,1
10.1086/339572,1
10.1086/340936,1
10.1086/341649,1
10.1086/342346,1
10.1086/342702,1
10.1086/342738,1
10.1086/343127,1
10.1086/344306,1
10.1086/345505,1
10.1086/346233,1
10.1086/346277,2
10.1086/368135,1
10.1086/374040,1
10.1086/375528,1
10.1086/376406,3
10.1086/377620,2
10.1086/378493,1
10.1086/378977,1
10.1086/379887,2
10.1086/380092,1
10.1086/380120,1
10.1086/381484,1
10.1086/382125,1
10.1086/382676,1
10.1086/383084,3
10.1086/383531,2
10.1086/420999,1
10.1086/421463,2
10.1086/421696,3
10.1086/422429,1
10.1086/422818,1
10.1086/422828,1
10.1086/422914,1
10.1086/423320,1
10.1086/424589,1
10.1086/424863,3
10.1086/425628,3
10.1086/426009,1
10.1086/426336,1
10.1086/427688,1
10.1086/428002,2
10.1086/428489,3
10.1086/429154,1
10.1086/429803,1
10.1086/429899,1
10.1086/430443,1
10.1086/431416,1
10.1086/431471,1
10.1086/431784,3
10.1086/444372,1
10.1086/491595,1
10.1086/496956,1
10.1086/497024,2
10.1086/498106,2
10.1086/498388,2
10.1086/498686,1
10.1086/498700,2
10.1086/499562,2
10.1086/500426,1
10.1086/500526,1
10.1086/500535,3
10.1086/500918,1
10.1086/501528,1
10.1086/502621,1
10.1086/503325,1
10.1086/503362,1
10.1086/503521,1
10.1086/503745,1
10.1086/504704,1
10.1086/504966,1
10.1086/505045,3
10.1086/505628,1
10.1086/505704,2
10.1086/506191,3
10.1086/506562,1
10.1086/507015,1
10.1086/508051,1
10.1086/508350,1
10.1086/508530,2
10.1086/508532,1
10.1086/508621,1
10.1086/508643,2
10.1086/508921,1
10.1086/509147,3
10.1086/509322,1
10.1086/509632,1
10.1086/509657,1
10.1086/510127,1
10.1086/510364,1
10.1086/510481,1
10.1086/510570,1
10.1086/510571,1
10.1086/510828,1
10.1086/510879,2
10.1086/510898,1
10.1086/510901,2
10.1086/511059,1
10.1086/511060,1
10.1086/511155,1
10.1086/512006,1
10.1086/512478,1
10.1086/512599,1
10.1086/513005,1
