,Software_Package,Pub_Year,year_count
0,Astroblend,2016,1
1,Astropy,2013,1
2,Astropy,2014,6
3,Astropy,2015,6
4,Astropy,2016,27
5,Astropy,2017,36
6,Astropy,2018,17
7,RADMC-3D,2004,1
8,RADMC-3D,2005,1
9,RADMC-3D,2006,1
10,RADMC-3D,2007,4
11,RADMC-3D,2008,4
12,RADMC-3D,2009,9
13,RADMC-3D,2010,12
14,RADMC-3D,2011,6
15,RADMC-3D,2012,12
16,RADMC-3D,2013,11
17,RADMC-3D,2014,11
18,RADMC-3D,2015,24
19,RADMC-3D,2016,25
20,RADMC-3D,2017,33
21,RADMC-3D,2018,9
22,SAOImage DS9,1997,2
23,SAOImage DS9,1998,3
24,SAOImage DS9,1999,1
25,SAOImage DS9,2000,2
26,SAOImage DS9,2001,4
27,SAOImage DS9,2002,3
28,SAOImage DS9,2003,4
29,SAOImage DS9,2004,6
30,SAOImage DS9,2005,6
31,SAOImage DS9,2006,10
32,SAOImage DS9,2007,18
33,SAOImage DS9,2008,14
34,SAOImage DS9,2009,17
35,SAOImage DS9,2010,20
36,SAOImage DS9,2011,16
37,SAOImage DS9,2012,25
38,SAOImage DS9,2013,14
39,SAOImage DS9,2014,16
40,SAOImage DS9,2015,22
41,SAOImage DS9,2016,26
42,SAOImage DS9,2017,31
43,SAOImage DS9,2018,12
44,Spec2d,2002,1
45,Spec2d,2003,2
46,Spec2d,2004,6
47,Spec2d,2005,5
48,Spec2d,2006,14
49,Spec2d,2007,20
50,Spec2d,2008,11
51,Spec2d,2009,16
52,Spec2d,2010,11
53,Spec2d,2011,22
54,Spec2d,2012,24
55,Spec2d,2013,19
56,Spec2d,2014,12
57,Spec2d,2015,20
58,Spec2d,2016,22
59,Spec2d,2017,12
60,Spec2d,2018,5
61,Stringray,1999,2
62,Stringray,2000,1
63,Stringray,2001,1
64,Stringray,2015,1
65,Stringray,2017,2
66,Stringray,2018,2
67,TARDIS,2002,1
68,TARDIS,2016,1
69,TARDIS,2017,1
70,WCSTools,1998,1
71,WCSTools,1999,1
72,WCSTools,2001,3
73,WCSTools,2002,5
74,WCSTools,2003,4
75,WCSTools,2004,6
76,WCSTools,2005,5
77,WCSTools,2006,5
78,WCSTools,2007,9
79,WCSTools,2008,3
80,WCSTools,2009,7
81,WCSTools,2010,20
82,WCSTools,2011,12
83,WCSTools,2012,12
84,WCSTools,2013,9
85,WCSTools,2014,3
86,WCSTools,2015,6
87,WCSTools,2016,3
88,WCSTools,2017,6
89,WCSTools,2018,1
