,Software_Package,Pub_Year,year_count
0,AstroBlend,2016,2
1,AstroBlend,2017,3
2,AstroPy,1997,1
3,AstroPy,2000,2
4,AstroPy,2007,1
5,AstroPy,2008,1
6,AstroPy,2013,9
7,AstroPy,2014,29
8,AstroPy,2015,55
9,AstroPy,2016,112
10,AstroPy,2017,150
11,AstroPy,2018,382
12,AstroPy,2019,39
13,PlasmaPy,2018,2
14,RADMC-3D,2004,5
15,RADMC-3D,2005,5
16,RADMC-3D,2006,6
17,RADMC-3D,2007,13
18,RADMC-3D,2008,9
19,RADMC-3D,2009,16
20,RADMC-3D,2010,19
21,RADMC-3D,2011,20
22,RADMC-3D,2012,29
23,RADMC-3D,2013,31
24,RADMC-3D,2014,38
25,RADMC-3D,2015,47
26,RADMC-3D,2016,68
27,RADMC-3D,2017,65
28,RADMC-3D,2018,80
29,RADMC-3D,2019,4
30,SAOImage DS9,1997,23
31,SAOImage DS9,1998,15
32,SAOImage DS9,1999,10
33,SAOImage DS9,2000,17
34,SAOImage DS9,2001,15
35,SAOImage DS9,2002,20
36,SAOImage DS9,2003,22
37,SAOImage DS9,2004,24
38,SAOImage DS9,2005,31
39,SAOImage DS9,2006,38
40,SAOImage DS9,2007,51
41,SAOImage DS9,2008,53
42,SAOImage DS9,2009,57
43,SAOImage DS9,2010,57
44,SAOImage DS9,2011,64
45,SAOImage DS9,2012,99
46,SAOImage DS9,2013,59
47,SAOImage DS9,2014,91
48,SAOImage DS9,2015,80
49,SAOImage DS9,2016,91
50,SAOImage DS9,2017,100
51,SAOImage DS9,2018,102
52,SAOImage DS9,2019,16
53,Spec2d,2002,1
54,Spec2d,2004,5
55,Spec2d,2005,3
56,Spec2d,2006,10
57,Spec2d,2007,13
58,Spec2d,2008,9
59,Spec2d,2009,18
60,Spec2d,2010,10
61,Spec2d,2011,20
62,Spec2d,2012,29
63,Spec2d,2013,20
64,Spec2d,2014,20
65,Spec2d,2015,24
66,Spec2d,2016,23
67,Spec2d,2017,19
68,Spec2d,2018,23
69,Spec2d,2019,1
70,Stingray,2018,4
71,Stingray,2019,2
72,TARDIS,2014,1
73,TARDIS,2015,4
74,TARDIS,2016,8
75,TARDIS,2017,6
76,TARDIS,2018,7
77,TARDIS,2019,2
78,WCS Tools,1997,4
79,WCS Tools,1998,1
80,WCS Tools,1999,5
81,WCS Tools,2000,2
82,WCS Tools,2001,8
83,WCS Tools,2002,12
84,WCS Tools,2003,10
85,WCS Tools,2004,13
86,WCS Tools,2005,11
87,WCS Tools,2006,12
88,WCS Tools,2007,20
89,WCS Tools,2008,16
90,WCS Tools,2009,21
91,WCS Tools,2010,29
92,WCS Tools,2011,29
93,WCS Tools,2012,25
94,WCS Tools,2013,21
95,WCS Tools,2014,15
96,WCS Tools,2015,19
97,WCS Tools,2016,16
98,WCS Tools,2017,16
99,WCS Tools,2018,20
100,WCS Tools,2019,1
