Software_name,Alias,ID
AstroBlend,AstroBlend,0
AstroBlend,astroblend,0
AstroBlend,2016A&C....15...50N,1
AstroBlend,10.1016/j.ascom.2016.02.002,1
AstroBlend,2015ascl.soft12007N,1
AstroBlend,arXiv:1602.03178,1
AstroBlend,astroblend.com,0
AstroBlend,adsabs.harvard.edu/abs/2016A%26C....15...50N,0
AstroBlend,doi.org/10.1016/j.ascom.2016.02.002,0
AstroBlend,ascl.net/1512.007,0
AstroBlend,arXiv.org/abs/1602.03178,0
AstroBlend,sciencedirect.com/science/article/pii/S2213133716300117?via%3Dihub,0
AstroBlend,ac.els-cdn.com/S2213133716300117/1-s2.0-S2213133716300117-main.pdf?_tid=0ab2f6e9-390c-4e8a-935f-cdb76a95a8a7&acdnat=1545322574_25ff2d97d8e56b14e8274e8172ebeb90,0
AstroBlend,arxiv.org/pdf/1602.03178.pdf,0
AstroPy,AstroPy,0
AstroPy,astropy,0
AstroPy,10.1051/0004-6361/201322068,1
AstroPy,2013A&A...558A..33A,1
AstroPy,arXiv:1307.6212,1
AstroPy,ascl:1207.007,1
AstroPy,2012ascl.soft07007T,1
AstroPy,2013ascl.soft04002G,1
AstroPy,10.5281/zenodo.1211397,1
AstroPy,10.3847/1538-3881/aabc4f,1
AstroPy,astropy.org,0
AstroPy,doi.org/10.1051/0004-6361/201322068,0
AstroPy,adsabs.harvard.edu/abs/2013A%26A...558A..33A,0
AstroPy,arXiv.org/abs/1307.6212,0
AstroPy,github.com/astropy,0
AstroPy,pypi.org/project/astropy,0
AstroPy,ascl.net/1207.007,0
AstroPy,adsabs.harvard.edu/abs/2012ascl.soft07007T,0
AstroPy,ascl.net/1304.002,0
AstroPy,adsabs.harvard.edu/abs/2013ascl.soft04002G,0
AstroPy,zenodo.org/communities/astropy,0
AstroPy,zenodo.org/record/1211397#.XBLn9XpKiOE,0
AstroPy,aanda.org/articles/aa/abs/2013/10/aa22068-13/aa22068-13.html,0
AstroPy,aanda.org/articles/aa/pdf/2013/10/aa22068-13.pdf,0
AstroPy,arxiv.org/pdf/1307.6212.pdf,0
AstroPy,aanda.org/articles/aa/full_html/2013/10/aa22068-13/aa22068-13.html,0
AstroPy,pythonhosted.org/Astropysics,0
AstroPy,arxiv.org/abs/1801.02634,0
AstroPy,arXiv:1801.02634,1
AstroPy,iopscience.iop.org/article/10.3847/1538-3881/aabc4f/pdf,0
AstroPy,Astropy Collaboration et al. (2018),0
PlasmaPy,PlasmaPy,0
PlasmaPy,plasmapy,0
PlasmaPy,2016APS..DPPB10026M,1
PlasmaPy,zenodo.org/record/163752#.XB0iuml7nkg,0
PlasmaPy,10.5281/zenodo.163752,1
PlasmaPy,10.5281/zenodo.1238132,1
PlasmaPy,10.5281/zenodo.1238125,1
PlasmaPy,2017APS..DPPG11148M,1
