,Software_Package,Pub_Year,year_count
0,AstroBlend,2016,1
1,AstroPy,2013,2
2,AstroPy,2014,27
3,AstroPy,2015,55
4,AstroPy,2016,90
5,AstroPy,2017,156
6,AstroPy,2018,100
7,RADMC-3D,2009,13
8,RADMC-3D,2010,16
9,RADMC-3D,2011,13
10,RADMC-3D,2012,20
11,RADMC-3D,2013,14
12,RADMC-3D,2014,13
13,RADMC-3D,2015,24
14,RADMC-3D,2016,20
15,RADMC-3D,2017,32
16,RADMC-3D,2018,12
17,SAOImage DS9,2000,1
18,SAOImage DS9,2001,1
19,SAOImage DS9,2002,1
20,SAOImage DS9,2003,2
21,SAOImage DS9,2004,4
22,SAOImage DS9,2005,6
23,SAOImage DS9,2006,12
24,SAOImage DS9,2007,16
25,SAOImage DS9,2008,16
26,SAOImage DS9,2009,27
27,SAOImage DS9,2010,28
28,SAOImage DS9,2011,20
29,SAOImage DS9,2012,29
30,SAOImage DS9,2013,30
31,SAOImage DS9,2014,24
32,SAOImage DS9,2015,26
33,SAOImage DS9,2016,21
34,SAOImage DS9,2017,28
35,SAOImage DS9,2018,16
36,Spec2d,2002,1
37,Spec2d,2003,1
38,Spec2d,2004,2
39,Spec2d,2005,2
40,Spec2d,2006,9
41,Spec2d,2007,10
42,Spec2d,2008,8
43,Spec2d,2009,16
44,Spec2d,2010,10
45,Spec2d,2011,15
46,Spec2d,2012,19
47,Spec2d,2013,17
48,Spec2d,2014,23
49,Spec2d,2015,30
50,Spec2d,2016,30
51,Spec2d,2017,29
52,Spec2d,2018,10
53,TARDIS,2013,1
54,TARDIS,2015,1
55,TARDIS,2016,2
56,TARDIS,2017,1
57,WCS Tools,1998,1
58,WCS Tools,1999,1
59,WCS Tools,2001,3
60,WCS Tools,2002,5
61,WCS Tools,2003,3
62,WCS Tools,2004,3
63,WCS Tools,2005,5
64,WCS Tools,2006,5
65,WCS Tools,2007,9
66,WCS Tools,2008,3
67,WCS Tools,2009,5
68,WCS Tools,2010,16
69,WCS Tools,2011,12
70,WCS Tools,2012,11
71,WCS Tools,2013,8
72,WCS Tools,2014,2
73,WCS Tools,2015,4
74,WCS Tools,2016,3
75,WCS Tools,2017,6
76,WCS Tools,2018,1
