,Software_Package,Alias,Identifier,ack_count
0,AstroBlend,astroblend,0,1
1,Astropy,AstroPy,0,26
2,Astropy,Astropy,0,426
3,Astropy,Astropy Collaboration,0,8
4,Astropy,astropy,0,89
5,Astropy,astropy cosmology,0,1
6,Astropy,astropy.cosmology,0,4
7,Astropy,astropy.org,0,35
8,Astropy,astropy.units,0,1
9,Astropy,doi.org/10.1051/0004-6361/201322068,1,2
10,Astropy,github.com/astropy/halotools,0,1
11,RADMC-3D,10.1051/0004-6361:20040017,1,10
12,RADMC-3D,2004A&A...417..793P,1,10
13,RADMC-3D,RADMC,0,54
14,RADMC-3D,RADMC-3D,0,65
15,RADMC-3D,RADMC3D,0,9
16,RADMC-3D,ita.uni-heidelberg.de/dullemond/software/radmc-3d,0,2
17,RADMC-3D,ita.uni-heidelberg.de/~dullemond/software/radmc-3d,0,3
18,RADMC-3D,radmc,0,1
19,RADMC-3D,radmc-3d,0,5
20,RADMC-3D,radmc3d,0,2
21,RADMC-3D,radmc3dPy,0,2
22,SAOImage DS9,DS9,0,65
23,SAOImage DS9,SAO Image,0,1
24,SAOImage DS9,SAOIMAGE,0,9
25,SAOImage DS9,SAOImage,0,9
26,SAOImage DS9,SAOImage DS9,0,164
27,SAOImage DS9,SAOImage ds9,0,9
28,SAOImage DS9,ds9,0,32
29,SAOImage DS9,ds9.si.edu,0,3
30,SAOImage DS9,hea&hyphen;www.harvard.edu/RD/ds9,0,1
31,SAOImage DS9,hea-www.harvard.edu/RD/ds9,0,2
32,SAOImage DS9,saoimage,0,1
33,SAOImage DS9,saoimage ds9,0,1
34,Spec2d,DEEP2 DEIMOS Data Pipeline,0,2
35,Spec2d,DEEP2 DEIMOS data pipeline,0,2
36,Spec2d,DEEP2 DEIMOS data reduction pipeline,0,1
37,Spec2d,DEEP2 DEIMOS pipeline,0,7
38,Spec2d,DEIMOS pipeline,0,8
39,Spec2d,Spec2d,0,3
40,Spec2d,The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,0,31
41,Spec2d,astro.berkeley.edu/~cooper/deep/spec2d,0,2
42,Spec2d,idlspec2d,0,34
43,Spec2d,spec2d,0,69
44,Stingray,HENDRICS,0,1
45,TARDIS,TARDIS,0,1
46,TARDIS,tardis,0,1
47,WCSTools,WCS Tools,0,1
48,WCSTools,WCSLIB,0,2
49,WCSTools,WCSTOOLS,0,14
50,WCSTools,WCSTools,0,59
51,WCSTools,imwcs,0,17
52,WCSTools,sky2xy,0,1
53,WCSTools,tdc&hyphen;www.harvard.edu/software/wcstools,0,2
54,WCSTools,tdc-www.harvard.edu/software/wcstools,0,1
55,WCSTools,tdc-www.harvard.edu/wcstools,0,1
56,WCSTools,wcstools,0,13
57,WCSTools,xy2sky,0,8
