,Software_Package,Alias,Identifier,ref_count
0,AstroBlend,astroblend,0,1
1,AstroBlend,astroblend.com,0,1
2,Astropy,10.1051/0004-6361/201322068,1,449
3,Astropy,2013A&A...558A..33A,1,441
4,Astropy,AstroPy,0,27
5,Astropy,Astropy,0,429
6,Astropy,Astropy Collaboration,0,424
7,Astropy,Astropy Collaboration 2013,0,1
8,Astropy,astropy,0,96
9,Astropy,astropy cosmology,0,1
10,Astropy,astropy.cosmology,0,5
11,Astropy,astropy.org,0,72
12,Astropy,astropy.units,0,1
13,Astropy,astropy/astroplan,0,1
14,Astropy,astropy/astroquery,0,2
15,Astropy,astropy/halotools,0,1
16,Astropy,astropy/photutils,0,3
17,Astropy,doi.org/10.1051/0004-6361/201322068,1,2
18,Astropy,github.com/StingraySoftware/HENDRIC,0,1
19,Astropy,github.com/StingraySoftware/notebooks,0,1
20,Astropy,github.com/astropy/astroplan,0,1
21,Astropy,github.com/astropy/astroquery,0,1
22,Astropy,github.com/astropy/astroscrappy,0,2
23,Astropy,github.com/astropy/halotools,0,1
24,Astropy,github.com/astropy/photutils,0,1
25,RADMC-3D,10.1051/0004-6361:20031768,1,96
26,RADMC-3D,10.1051/0004-6361:20040017,1,11
27,RADMC-3D,2004A&A...417..159D,1,96
28,RADMC-3D,2004A&A...417..793P,1,11
29,RADMC-3D,2011ascl.soft08016D,1,1
30,RADMC-3D,2012ascl.soft02015D,1,8
31,RADMC-3D,RADMC,0,63
32,RADMC-3D,RADMC-3D,0,80
33,RADMC-3D,RADMC3D,0,14
34,RADMC-3D,ascl:1202.015,1,2
35,RADMC-3D,dullemond/software/radmc-3d,0,8
36,RADMC-3D,ita.uni-heidelberg.de/dullemond/software/radmc-3d,0,10
37,RADMC-3D,ita.uni-heidelberg.de/~dullemond/software/radmc-3d,0,24
38,RADMC-3D,ita.uni-heidelberg.de∼deullemond/software/radmc-3d,0,1
39,RADMC-3D,radmc,0,2
40,RADMC-3D,radmc-3d,0,14
41,RADMC-3D,radmc3d,0,4
42,RADMC-3D,radmc3dPy,0,2
43,SAOImage DS9,2000ascl.soft03002S,1,1
44,SAOImage DS9,2003ASPC..295..489J,1,56
45,SAOImage DS9,DS9,0,77
46,SAOImage DS9,DS9 Region,0,1
47,SAOImage DS9,SAO Image,0,1
48,SAOImage DS9,SAOIMAGE,0,10
49,SAOImage DS9,SAOImage,0,10
50,SAOImage DS9,SAOImage DS9,0,171
51,SAOImage DS9,SAOImage ds9,0,9
52,SAOImage DS9,ds9,0,39
53,SAOImage DS9,ds9.si.edu,0,20
54,SAOImage DS9,hea&hyphen;www.harvard.edu/ChaMPlane/walkthrough_ds9,0,1
55,SAOImage DS9,hea&hyphen;www.harvard.edu/RD/ds9,0,8
56,SAOImage DS9,hea&hyphen;www.harvard.edu/RD/saotng,0,1
57,SAOImage DS9,hea&hyphen;www.harvard.edu/saord/ds9,0,1
58,SAOImage DS9,hea-www.harvard.edu/RD/ds9,0,7
59,SAOImage DS9,saoimage,0,1
60,SAOImage DS9,saoimage ds9,0,1
61,Spec2d,10.1088/0067-0049/208/1/5,1,124
62,Spec2d,2012ascl.soft03003C,1,22
63,Spec2d,2013ApJS..208....5N,1,123
64,Spec2d,DEEP2 DEIMOS Data Pipeline,0,2
65,Spec2d,DEEP2 DEIMOS data pipeline,0,4
66,Spec2d,DEEP2 DEIMOS data reduction pipeline,0,7
67,Spec2d,DEEP2 DEIMOS pipeline,0,7
68,Spec2d,DEIMOS pipeline,0,11
69,Spec2d,Spec2d,0,5
70,Spec2d,The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,0,32
71,Spec2d,ascl:1203.003,1,8
72,Spec2d,astro.berkeley.edu/~cooper/deep/spec2d,0,8
73,Spec2d,astron.berkeley.edu/~cooper/deep/spec2d,0,4
74,Spec2d,deep.ps.uci.edu/spec2d,0,3
75,Spec2d,idlspec2d,0,47
76,Spec2d,keck.hawaii.edu/inst/deimos/pipeline.html,0,3
77,Spec2d,sdss3.org/svn/repo/idlspec2d,0,4
78,Spec2d,spec2d,0,123
79,Spec2d,svn.sdss.org/public/repo/manga/mangadrp/tags/v1_5_4/pro/spec2d,0,1
80,Stingray,HENDRICS,0,2
81,Stingray,Stingray,0,1
82,Stingray,stingray,0,1
83,TARDIS,10.1093/mnras/stu055,1,4
84,TARDIS,TARDIS,0,1
85,TARDIS,tardis,0,1
86,WCSTools,1997ASPC..125..249M,1,11
87,WCSTools,1999ASPC..172..498M,1,10
88,WCSTools,2002ASPC..281..169M,1,13
89,WCSTools,2006ASPC..351..204M,1,4
90,WCSTools,WCS Tools,0,1
91,WCSTools,WCSLIB,0,2
92,WCSTools,WCSTOOLS,0,15
93,WCSTools,WCSTools,0,66
94,WCSTools,cfa&hyphen;ftp.harvard.edu/pub/gsc/WCSTools,0,3
95,WCSTools,imwcs,0,21
96,WCSTools,sky2xy,0,1
97,WCSTools,tdc&hyphen;www.harvard.edu/software/wcstools,0,8
98,WCSTools,tdc-www.cfa.harvard.edu/software/wcstools,0,1
99,WCSTools,tdc-www.harvard.edu/software/wcstools,0,3
100,WCSTools,tdc-www.harvard.edu/wcstools,0,4
101,WCSTools,wcstools,0,14
102,WCSTools,xy2sky,0,8
