Parent1_Tag,Count,,Parent2_Tag,Count,,Parent3_Tag,Count,,Parent4_Tag,Count
article-id,1,,abstract,5,,abstract,4,,ack,5
article-title,25,,ack,732,,ack,180,,app,7
collab,389,,aff,1,,app,24,,app-group,24
comment,50,,app,38,,app-group,38,,article,1265
conf-name,1,,article-meta,1,,article,230,,article-meta,5
disp-formula,3,,article-title,4,,article-meta,5,,back,218
ext-link,1279,,caption,75,,back,732,,body,230
fpage,2,,comment,10,,caption,18,,element-citation,7
institution,1,,disp-formula,3,,contrib-group,1,,fig,14
italic,119,,element-citation,1188,,element-citation,360,,fig-group,3
monospace,346,,fn,39,,fig,66,,fn-group,34
p,1661,,inline-formula,1,,fig-group,7,,front,5
pub-id,522,,list-item,14,,fn,252,,list,22
sans-serif,2,,name,9,,fn-group,13,,list-item,1
sc,101,,nlm-citation,419,,front,1,,nlm-citation,2
source,47,,oasis:entry,2,,list,14,,oasis:tbody,2
sub,2,,p,876,,list-item,22,,p,236
surname,9,,person-group,388,,nlm-citation,42,,ref,402
td,5,,sec,762,,oasis:row,2,,ref-list,1607
tex-math,4,,td,1,,p,25,,sec,470
title,4,,title,2,,person-group,9,,table,5
volume,1,,tr,5,,ref,1607,,table-wrap,7
year,1,,,,,sec,909,,table-wrap-foot,3
,,,,,,table-wrap,2,,tbody,1
,,,,,,table-wrap-foot,6,,,
,,,,,,tbody,5,,,
,,,,,,tr,1,,,
