DOI,Software_Package,Alias
#VALUE!,SAOImage DS9,7
#VALUE!,Spec2d,4
#VALUE!,WCSTools,6
10.1086/304882,SAOImage DS9,1
10.1086/312617,SAOImage DS9,1
10.1086/313204,SAOImage DS9,1
10.1086/321561,SAOImage DS9,1
10.1086/339572,WCSTools,1
10.1086/340936,SAOImage DS9,2
10.1086/342702,WCSTools,1
10.1086/343127,WCSTools,1
10.1086/346233,Spec2d,1
10.1086/374040,SAOImage DS9,1
10.1086/375528,Spec2d,1
10.1086/376406,SAOImage DS9,1
10.1086/378977,WCSTools,1
10.1086/379887,SAOImage DS9,1
10.1086/380120,WCSTools,1
10.1086/382125,Spec2d,1
10.1086/382676,SAOImage DS9,1
10.1086/383084,WCSTools,3
10.1086/383531,Spec2d,1
10.1086/421463,Spec2d,1
10.1086/421696,SAOImage DS9,1
10.1086/422187,SAOImage DS9,1
10.1086/422818,RADMC-3D,1
10.1086/422914,WCSTools,1
10.1086/423320,WCSTools,1
10.1086/426116,SAOImage DS9,1
10.1086/427688,RADMC-3D,1
10.1086/429154,SAOImage DS9,1
10.1086/429899,SAOImage DS9,2
10.1086/430443,WCSTools,1
10.1086/431416,Spec2d,1
10.1086/431471,WCSTools,1
10.1086/431784,WCSTools,3
10.1086/432099,SAOImage DS9,1
10.1086/444372,SAOImage DS9,1
10.1086/491595,SAOImage DS9,1
10.1086/496956,Spec2d,1
10.1086/497024,Spec2d,2
10.1086/498106,SAOImage DS9,3
10.1086/498388,Spec2d,2
10.1086/498700,Spec2d,2
10.1086/499399,WCSTools,1
10.1086/500426,Spec2d,1
10.1086/500918,Spec2d,1
10.1086/501341,SAOImage DS9,1
10.1086/502621,SAOImage DS9,1
10.1086/502621,WCSTools,1
10.1086/503362,Spec2d,1
10.1086/503521,WCSTools,1
10.1086/504704,SAOImage DS9,1
10.1086/504966,Spec2d,1
10.1086/505018,SAOImage DS9,2
10.1086/505562,Spec2d,1
10.1086/505628,Spec2d,1
10.1086/506191,SAOImage DS9,2
10.1086/507015,SAOImage DS9,2
10.1086/507273,WCSTools,1
10.1086/508051,RADMC-3D,1
10.1086/508350,WCSTools,1
10.1086/508530,WCSTools,1
10.1086/508532,SAOImage DS9,1
10.1086/508621,Spec2d,1
10.1086/508643,Spec2d,2
10.1086/508921,Spec2d,1
10.1086/509147,SAOImage DS9,1
10.1086/509322,WCSTools,1
10.1086/510570,RADMC-3D,1
10.1086/510571,RADMC-3D,1
10.1086/510828,Spec2d,1
10.1086/510879,Spec2d,1
10.1086/510898,SAOImage DS9,1
10.1086/511059,Spec2d,1
10.1086/511060,Spec2d,1
10.1086/512478,Spec2d,1
10.1086/512599,SAOImage DS9,1
10.1086/513005,Spec2d,1
10.1086/513090,SAOImage DS9,1
10.1086/513464,Spec2d,1
10.1086/513712,SAOImage DS9,1
10.1086/513869,SAOImage DS9,1
10.1086/514817,RADMC-3D,1
10.1086/516578,Spec2d,2
10.1086/517962,WCSTools,2
10.1086/518302,Spec2d,1
10.1086/518397,SAOImage DS9,1
10.1086/518414,SAOImage DS9,1
10.1086/518877,SAOImage DS9,1
10.1086/519068,WCSTools,3
10.1086/519308,WCSTools,1
