,Parent1_Tag,Parent2_Tag,Parent3_Tag,Parent4_Tag,Software_Package,tags
0,ext-link,,,,AstroBlend,1
1,sc,,,,AstroBlend,1
2,collab,,,,Astropy,389
3,comment,,,,Astropy,41
4,conf-name,,,,Astropy,1
5,disp-formula,,,,Astropy,3
6,ext-link,,,,Astropy,578
7,institution,,,,Astropy,1
8,italic,,,,Astropy,14
9,monospace,,,,Astropy,108
10,p,,,,Astropy,649
11,pub-id,,,,Astropy,405
12,sans-serif,,,,Astropy,2
13,sc,,,,Astropy,22
14,source,,,,Astropy,6
15,surname,,,,Astropy,9
16,td,,,,Astropy,1
17,tex-math,,,,Astropy,3
18,year,,,,Astropy,1
19,article-title,,,,RADMC-3D,19
20,comment,,,,RADMC-3D,5
21,ext-link,,,,RADMC-3D,267
22,fpage,,,,RADMC-3D,1
23,italic,,,,RADMC-3D,3
24,monospace,,,,RADMC-3D,50
25,p,,,,RADMC-3D,343
26,pub-id,,,,RADMC-3D,23
27,sc,,,,RADMC-3D,42
28,source,,,,RADMC-3D,13
29,td,,,,RADMC-3D,4
30,title,,,,RADMC-3D,3
31,volume,,,,RADMC-3D,1
32,ext-link,,,,SAOImage DS9,105
33,italic,,,,SAOImage DS9,18
34,monospace,,,,SAOImage DS9,5
35,p,,,,SAOImage DS9,368
36,sc,,,,SAOImage DS9,4
37,source,,,,SAOImage DS9,1
38,title,,,,SAOImage DS9,1
39,article-id,,,,Spec2d,1
40,article-title,,,,Spec2d,6
41,comment,,,,Spec2d,4
42,ext-link,,,,Spec2d,253
43,fpage,,,,Spec2d,1
44,italic,,,,Spec2d,58
45,monospace,,,,Spec2d,159
46,p,,,,Spec2d,181
47,pub-id,,,,Spec2d,90
48,sc,,,,Spec2d,24
49,source,,,,Spec2d,26
50,sub,,,,Spec2d,2
51,monospace,,,,Stingray,5
52,p,,,,Stingray,3
53,source,,,,Stingray,1
54,p,,,,TARDIS,8
55,pub-id,,,,TARDIS,4
56,sc,,,,TARDIS,5
57,ext-link,,,,WCSTools,75
58,italic,,,,WCSTools,26
59,monospace,,,,WCSTools,19
60,p,,,,WCSTools,109
61,sc,,,,WCSTools,3
62,tex-math,,,,WCSTools,1
0,,p,,,AstroBlend,2
1,,abstract,,,Astropy,1
2,,ack,,,Astropy,549
3,,aff,,,Astropy,1
4,,app,,,Astropy,4
5,,disp-formula,,,Astropy,3
6,,element-citation,,,Astropy,852
7,,fn,,,Astropy,5
8,,list-item,,,Astropy,6
9,,name,,,Astropy,9
10,,nlm-citation,,,Astropy,88
11,,p,,,Astropy,241
12,,person-group,,,Astropy,388
13,,sec,,,Astropy,84
14,,td,,,Astropy,1
15,,tr,,,Astropy,1
16,,abstract,,,RADMC-3D,3
17,,ack,,,RADMC-3D,21
18,,app,,,RADMC-3D,21
19,,article-title,,,RADMC-3D,2
20,,caption,,,RADMC-3D,42
21,,comment,,,RADMC-3D,6
22,,element-citation,,,RADMC-3D,88
23,,fn,,,RADMC-3D,5
24,,list-item,,,RADMC-3D,3
25,,nlm-citation,,,RADMC-3D,173
26,,p,,,RADMC-3D,155
27,,sec,,,RADMC-3D,251
28,,tr,,,RADMC-3D,4
29,,ack,,,SAOImage DS9,125
30,,app,,,SAOImage DS9,7
31,,caption,,,SAOImage DS9,27
32,,element-citation,,,SAOImage DS9,19
33,,fn,,,SAOImage DS9,12
34,,list-item,,,SAOImage DS9,3
35,,nlm-citation,,,SAOImage DS9,39
36,,p,,,SAOImage DS9,75
37,,sec,,,SAOImage DS9,195
38,,abstract,,,Spec2d,1
39,,ack,,,Spec2d,35
40,,app,,,Spec2d,2
41,,article-meta,,,Spec2d,1
42,,article-title,,,Spec2d,2
43,,caption,,,Spec2d,6
44,,comment,,,Spec2d,3
45,,element-citation,,,Spec2d,214
46,,fn,,,Spec2d,12
47,,nlm-citation,,,Spec2d,91
48,,oasis:entry,,,Spec2d,2
49,,p,,,Spec2d,309
50,,sec,,,Spec2d,125
51,,title,,,Spec2d,2
52,,element-citation,,,Stingray,1
53,,p,,,Stingray,5
54,,sec,,,Stingray,3
55,,element-citation,,,TARDIS,4
56,,p,,,TARDIS,5
57,,sec,,,TARDIS,8
58,,ack,,,WCSTools,2
59,,app,,,WCSTools,4
60,,comment,,,WCSTools,1
61,,element-citation,,,WCSTools,10
62,,fn,,,WCSTools,5
63,,inline-formula,,,WCSTools,1
64,,list-item,,,WCSTools,2
65,,nlm-citation,,,WCSTools,28
66,,p,,,WCSTools,84
67,,sec,,,WCSTools,96
0,,,fn,,AstroBlend,1
1,,,sec,,AstroBlend,1
2,,,abstract,,Astropy,2
3,,,ack,,Astropy,114
4,,,app,,Astropy,5
5,,,app-group,,Astropy,4
6,,,article,,Astropy,31
7,,,article-meta,,Astropy,1
8,,,back,,Astropy,549
9,,,caption,,Astropy,1
10,,,contrib-group,,Astropy,1
11,,,element-citation,,Astropy,349
12,,,fn,,Astropy,54
13,,,list,,Astropy,6
14,,,list-item,,Astropy,1
15,,,nlm-citation,,Astropy,39
16,,,p,,Astropy,8
17,,,person-group,,Astropy,9
18,,,ref,,Astropy,940
19,,,sec,,Astropy,117
20,,,tbody,,Astropy,1
21,,,tr,,Astropy,1
22,,,abstract,,RADMC-3D,1
23,,,ack,,RADMC-3D,8
24,,,app,,RADMC-3D,4
25,,,app-group,,RADMC-3D,21
26,,,article,,RADMC-3D,90
27,,,article-meta,,RADMC-3D,3
28,,,back,,RADMC-3D,21
29,,,caption,,RADMC-3D,6
30,,,element-citation,,RADMC-3D,7
31,,,fig,,RADMC-3D,41
32,,,fig-group,,RADMC-3D,1
33,,,fn,,RADMC-3D,54
34,,,list,,RADMC-3D,3
35,,,list-item,,RADMC-3D,1
36,,,nlm-citation,,RADMC-3D,1
37,,,p,,RADMC-3D,3
38,,,ref,,RADMC-3D,261
39,,,sec,,RADMC-3D,242
40,,,table-wrap-foot,,RADMC-3D,2
41,,,tbody,,RADMC-3D,4
42,,,ack,,SAOImage DS9,46
43,,,app,,SAOImage DS9,10
44,,,app-group,,SAOImage DS9,7
45,,,article,,SAOImage DS9,48
46,,,back,,SAOImage DS9,125
47,,,caption,,SAOImage DS9,3
48,,,fig,,SAOImage DS9,19
49,,,fig-group,,SAOImage DS9,6
50,,,fn,,SAOImage DS9,39
51,,,fn-group,,SAOImage DS9,2
52,,,list,,SAOImage DS9,3
53,,,list-item,,SAOImage DS9,2
54,,,p,,SAOImage DS9,7
55,,,ref,,SAOImage DS9,58
56,,,sec,,SAOImage DS9,122
57,,,table-wrap,,SAOImage DS9,2
58,,,table-wrap-foot,,SAOImage DS9,3
59,,,abstract,,Spec2d,1
60,,,ack,,Spec2d,4
61,,,app,,Spec2d,4
62,,,app-group,,Spec2d,2
63,,,article,,Spec2d,26
64,,,article-meta,,Spec2d,1
65,,,back,,Spec2d,35
66,,,caption,,Spec2d,7
67,,,element-citation,,Spec2d,3
68,,,fig,,Spec2d,6
69,,,fn,,Spec2d,71
70,,,fn-group,,Spec2d,8
71,,,front,,Spec2d,1
72,,,list-item,,Spec2d,17
73,,,nlm-citation,,Spec2d,2
74,,,oasis:row,,Spec2d,2
75,,,p,,Spec2d,4
76,,,ref,,Spec2d,305
77,,,sec,,Spec2d,305
78,,,table-wrap-foot,,Spec2d,1
79,,,article,,Stingray,1
80,,,ref,,Stingray,1
81,,,sec,,Stingray,7
82,,,article,,TARDIS,7
83,,,caption,,TARDIS,1
84,,,ref,,TARDIS,4
85,,,sec,,TARDIS,5
86,,,ack,,WCSTools,8
87,,,app,,WCSTools,1
88,,,app-group,,WCSTools,4
89,,,article,,WCSTools,27
90,,,back,,WCSTools,2
91,,,element-citation,,WCSTools,1
92,,,fn,,WCSTools,33
93,,,fn-group,,WCSTools,3
94,,,list,,WCSTools,2
95,,,list-item,,WCSTools,1
