Software_Package,Journal_Title,File_Name
AstroBlend,The Astrophysical Journal,1
Astropy,The Astronomical Journal,76
Astropy,The Astrophysical Journal,364
Astropy,The Astrophysical Journal Letters,62
Astropy,The Astrophysical Journal Supplement Series,36
RADMC-3D,The Astronomical Journal,7
RADMC-3D,The Astrophysical Journal,168
RADMC-3D,The Astrophysical Journal Letters,27
RADMC-3D,The Astrophysical Journal Supplement Series,12
SAOImage DS9,The Astronomical Journal,68
SAOImage DS9,The Astrophysical Journal,196
SAOImage DS9,The Astrophysical Journal Letters,15
SAOImage DS9,The Astrophysical Journal Supplement Series,62
Spec2d,The Astronomical Journal,25
Spec2d,The Astrophysical Journal,229
Spec2d,The Astrophysical Journal Letters,21
Spec2d,The Astrophysical Journal Supplement Series,29
Stingray,The Astrophysical Journal Letters,2
TARDIS,The Astrophysical Journal,3
TARDIS,The Astrophysical Journal Supplement Series,1
WCSTools,The Astronomical Journal,43
WCSTools,The Astrophysical Journal,59
WCSTools,The Astrophysical Journal Letters,7
WCSTools,The Astrophysical Journal Supplement Series,14
