,Journal_Title,Software_Package,Pub_Year,year_count
0,The Astronomical Journal,Astropy,2014,4
1,The Astronomical Journal,Astropy,2015,5
2,The Astronomical Journal,Astropy,2016,14
3,The Astronomical Journal,Astropy,2017,32
4,The Astronomical Journal,Astropy,2018,21
5,The Astronomical Journal,RADMC-3D,2010,2
6,The Astronomical Journal,RADMC-3D,2016,1
7,The Astronomical Journal,RADMC-3D,2017,3
8,The Astronomical Journal,RADMC-3D,2018,1
9,The Astronomical Journal,SAOImage DS9,1998,3
10,The Astronomical Journal,SAOImage DS9,2000,1
11,The Astronomical Journal,SAOImage DS9,2002,1
12,The Astronomical Journal,SAOImage DS9,2004,1
13,The Astronomical Journal,SAOImage DS9,2006,5
14,The Astronomical Journal,SAOImage DS9,2007,5
15,The Astronomical Journal,SAOImage DS9,2008,2
16,The Astronomical Journal,SAOImage DS9,2009,3
17,The Astronomical Journal,SAOImage DS9,2010,10
18,The Astronomical Journal,SAOImage DS9,2011,2
19,The Astronomical Journal,SAOImage DS9,2012,7
20,The Astronomical Journal,SAOImage DS9,2013,6
21,The Astronomical Journal,SAOImage DS9,2014,3
22,The Astronomical Journal,SAOImage DS9,2015,4
23,The Astronomical Journal,SAOImage DS9,2016,5
24,The Astronomical Journal,SAOImage DS9,2017,7
25,The Astronomical Journal,SAOImage DS9,2018,3
26,The Astronomical Journal,Spec2d,2002,1
27,The Astronomical Journal,Spec2d,2004,1
28,The Astronomical Journal,Spec2d,2005,1
29,The Astronomical Journal,Spec2d,2006,2
30,The Astronomical Journal,Spec2d,2007,1
31,The Astronomical Journal,Spec2d,2009,2
32,The Astronomical Journal,Spec2d,2010,1
33,The Astronomical Journal,Spec2d,2011,3
34,The Astronomical Journal,Spec2d,2012,2
35,The Astronomical Journal,Spec2d,2013,3
36,The Astronomical Journal,Spec2d,2014,1
37,The Astronomical Journal,Spec2d,2015,1
38,The Astronomical Journal,Spec2d,2016,3
39,The Astronomical Journal,Spec2d,2017,3
40,The Astronomical Journal,WCSTools,1998,1
41,The Astronomical Journal,WCSTools,1999,1
42,The Astronomical Journal,WCSTools,2001,3
43,The Astronomical Journal,WCSTools,2002,2
44,The Astronomical Journal,WCSTools,2003,2
45,The Astronomical Journal,WCSTools,2004,2
46,The Astronomical Journal,WCSTools,2005,2
47,The Astronomical Journal,WCSTools,2006,1
48,The Astronomical Journal,WCSTools,2007,3
49,The Astronomical Journal,WCSTools,2008,1
50,The Astronomical Journal,WCSTools,2009,1
51,The Astronomical Journal,WCSTools,2010,10
52,The Astronomical Journal,WCSTools,2011,5
53,The Astronomical Journal,WCSTools,2012,2
54,The Astronomical Journal,WCSTools,2013,1
55,The Astronomical Journal,WCSTools,2014,1
56,The Astronomical Journal,WCSTools,2015,2
57,The Astronomical Journal,WCSTools,2017,3
58,The Astrophysical Journal,AstroBlend,2016,1
59,The Astrophysical Journal,Astropy,2012,1
60,The Astrophysical Journal,Astropy,2013,2
61,The Astrophysical Journal,Astropy,2014,23
62,The Astrophysical Journal,Astropy,2015,51
63,The Astrophysical Journal,Astropy,2016,84
64,The Astrophysical Journal,Astropy,2017,131
65,The Astrophysical Journal,Astropy,2018,72
66,The Astrophysical Journal,RADMC-3D,2005,1
67,The Astrophysical Journal,RADMC-3D,2006,1
68,The Astrophysical Journal,RADMC-3D,2007,2
69,The Astrophysical Journal,RADMC-3D,2008,1
70,The Astrophysical Journal,RADMC-3D,2009,14
71,The Astrophysical Journal,RADMC-3D,2010,14
72,The Astrophysical Journal,RADMC-3D,2011,11
73,The Astrophysical Journal,RADMC-3D,2012,21
74,The Astrophysical Journal,RADMC-3D,2013,12
75,The Astrophysical Journal,RADMC-3D,2014,12
76,The Astrophysical Journal,RADMC-3D,2015,20
77,The Astrophysical Journal,RADMC-3D,2016,19
78,The Astrophysical Journal,RADMC-3D,2017,29
79,The Astrophysical Journal,RADMC-3D,2018,11
80,The Astrophysical Journal,SAOImage DS9,1997,1
81,The Astrophysical Journal,SAOImage DS9,2001,1
82,The Astrophysical Journal,SAOImage DS9,2002,1
83,The Astrophysical Journal,SAOImage DS9,2003,2
84,The Astrophysical Journal,SAOImage DS9,2004,4
85,The Astrophysical Journal,SAOImage DS9,2005,6
86,The Astrophysical Journal,SAOImage DS9,2006,7
87,The Astrophysical Journal,SAOImage DS9,2007,12
88,The Astrophysical Journal,SAOImage DS9,2008,10
89,The Astrophysical Journal,SAOImage DS9,2009,21
90,The Astrophysical Journal,SAOImage DS9,2010,14
91,The Astrophysical Journal,SAOImage DS9,2011,11
92,The Astrophysical Journal,SAOImage DS9,2012,18
93,The Astrophysical Journal,SAOImage DS9,2013,18
94,The Astrophysical Journal,SAOImage DS9,2014,17
95,The Astrophysical Journal,SAOImage DS9,2015,16
96,The Astrophysical Journal,SAOImage DS9,2016,11
97,The Astrophysical Journal,SAOImage DS9,2017,18
98,The Astrophysical Journal,SAOImage DS9,2018,8
99,The Astrophysical Journal,Spec2d,2003,2
100,The Astrophysical Journal,Spec2d,2004,2
101,The Astrophysical Journal,Spec2d,2005,3
102,The Astrophysical Journal,Spec2d,2006,10
103,The Astrophysical Journal,Spec2d,2007,14
104,The Astrophysical Journal,Spec2d,2008,9
105,The Astrophysical Journal,Spec2d,2009,15
106,The Astrophysical Journal,Spec2d,2010,9
107,The Astrophysical Journal,Spec2d,2011,15
108,The Astrophysical Journal,Spec2d,2012,20
109,The Astrophysical Journal,Spec2d,2013,18
110,The Astrophysical Journal,Spec2d,2014,22
111,The Astrophysical Journal,Spec2d,2015,29
112,The Astrophysical Journal,Spec2d,2016,30
113,The Astrophysical Journal,Spec2d,2017,23
114,The Astrophysical Journal,Spec2d,2018,8
115,The Astrophysical Journal,TARDIS,2016,2
116,The Astrophysical Journal,TARDIS,2017,1
117,The Astrophysical Journal,WCSTools,2002,3
118,The Astrophysical Journal,WCSTools,2003,1
119,The Astrophysical Journal,WCSTools,2004,1
120,The Astrophysical Journal,WCSTools,2005,2
121,The Astrophysical Journal,WCSTools,2006,3
122,The Astrophysical Journal,WCSTools,2007,6
123,The Astrophysical Journal,WCSTools,2008,2
124,The Astrophysical Journal,WCSTools,2009,4
125,The Astrophysical Journal,WCSTools,2010,7
126,The Astrophysical Journal,WCSTools,2011,4
127,The Astrophysical Journal,WCSTools,2012,9
128,The Astrophysical Journal,WCSTools,2013,7
129,The Astrophysical Journal,WCSTools,2014,2
130,The Astrophysical Journal,WCSTools,2015,2
131,The Astrophysical Journal,WCSTools,2016,2
132,The Astrophysical Journal,WCSTools,2017,3
133,The Astrophysical Journal,WCSTools,2018,1
134,The Astrophysical Journal Letters,Astropy,2013,1
135,The Astrophysical Journal Letters,Astropy,2014,9
136,The Astrophysical Journal Letters,Astropy,2015,5
137,The Astrophysical Journal Letters,Astropy,2016,10
138,The Astrophysical Journal Letters,Astropy,2017,26
139,The Astrophysical Journal Letters,Astropy,2018,11
140,The Astrophysical Journal Letters,RADMC-3D,2007,2
141,The Astrophysical Journal Letters,RADMC-3D,2008,2
142,The Astrophysical Journal Letters,RADMC-3D,2010,3
143,The Astrophysical Journal Letters,RADMC-3D,2012,2
144,The Astrophysical Journal Letters,RADMC-3D,2013,1
145,The Astrophysical Journal Letters,RADMC-3D,2015,4
146,The Astrophysical Journal Letters,RADMC-3D,2016,8
147,The Astrophysical Journal Letters,RADMC-3D,2017,5
148,The Astrophysical Journal Letters,SAOImage DS9,2000,1
149,The Astrophysical Journal Letters,SAOImage DS9,2007,2
