Journal_Title,Software_Package,File_Name
The Astronomical Journal,Astropy,76
The Astronomical Journal,RADMC-3D,7
The Astronomical Journal,SAOImage DS9,68
The Astronomical Journal,Spec2d,25
The Astronomical Journal,WCSTools,43
The Astrophysical Journal,AstroBlend,1
The Astrophysical Journal,Astropy,364
The Astrophysical Journal,RADMC-3D,168
The Astrophysical Journal,SAOImage DS9,196
The Astrophysical Journal,Spec2d,229
The Astrophysical Journal,TARDIS,3
The Astrophysical Journal,WCSTools,59
The Astrophysical Journal Letters,Astropy,62
The Astrophysical Journal Letters,RADMC-3D,27
The Astrophysical Journal Letters,SAOImage DS9,15
The Astrophysical Journal Letters,Spec2d,21
The Astrophysical Journal Letters,Stingray,2
The Astrophysical Journal Letters,WCSTools,7
The Astrophysical Journal Supplement Series,Astropy,36
The Astrophysical Journal Supplement Series,RADMC-3D,12
The Astrophysical Journal Supplement Series,SAOImage DS9,62
The Astrophysical Journal Supplement Series,Spec2d,29
The Astrophysical Journal Supplement Series,TARDIS,1
The Astrophysical Journal Supplement Series,WCSTools,14
