,Software_Package,Alias,Identifier,ref_count
0,Astropy,10.1051/0004-6361/201322068,1,449
1,Astropy,2013A&A...558A..33A,1,441
2,Astropy,Astropy,0,3
3,Astropy,Astropy Collaboration,0,433
4,Astropy,Astropy Collaboration 2013,0,1
5,Astropy,astropy/astroplan,0,1
6,Astropy,astropy/astroquery,0,2
7,Astropy,astropy/halotools,0,1
8,Astropy,astropy/photutils,0,3
9,RADMC-3D,10.1051/0004-6361:20031768,1,96
10,RADMC-3D,10.1051/0004-6361:20040017,1,11
11,RADMC-3D,2004A&A...417..159D,1,96
12,RADMC-3D,2004A&A...417..793P,1,11
13,RADMC-3D,2011ascl.soft08016D,1,1
14,RADMC-3D,2012ascl.soft02015D,1,8
15,RADMC-3D,RADMC-3D,0,34
16,RADMC-3D,RADMC3D,0,5
17,RADMC-3D,ascl:1202.015,1,2
18,RADMC-3D,ita.uni-heidelberg.de/dullemond/software/radmc-3d,0,4
19,RADMC-3D,ita.uni-heidelberg.de/~dullemond/software/radmc-3d,0,1
20,SAOImage DS9,2000ascl.soft03002S,1,1
21,SAOImage DS9,2003ASPC..295..489J,1,56
22,SAOImage DS9,SAOImage DS9,0,1
23,Spec2d,10.1088/0067-0049/208/1/5,1,123
24,Spec2d,2012ascl.soft03003C,1,22
25,Spec2d,2013ApJS..208....5N,1,123
26,Spec2d,Spec2d,0,1
27,Spec2d,ascl:1203.003,1,9
28,Spec2d,spec2d,0,32
29,Stingray,Stingray,0,1
30,TARDIS,10.1093/mnras/stu055,1,4
31,WCSTools,1997ASPC..125..249M,1,11
32,WCSTools,1999ASPC..172..498M,1,10
33,WCSTools,2002ASPC..281..169M,1,13
34,WCSTools,2006ASPC..351..204M,1,4
35,WCSTools,tdc-www.harvard.edu/software/wcstools,0,1
