DOI,Parent1_Tag
#VALUE!,4
10.1086/304882,1
10.1086/312617,1
10.1086/313204,1
10.1086/321561,1
10.1086/339572,1
10.1086/340936,2
10.1086/342702,1
10.1086/343127,1
10.1086/346233,1
10.1086/374040,1
10.1086/375528,1
10.1086/376406,1
10.1086/378977,1
10.1086/379887,1
10.1086/380120,1
10.1086/382125,1
10.1086/382676,1
10.1086/383084,3
10.1086/383531,1
10.1086/421463,2
10.1086/421696,1
10.1086/422187,1
10.1086/422818,1
10.1086/422914,1
10.1086/423320,1
10.1086/426116,1
10.1086/427688,1
10.1086/429154,1
10.1086/429899,2
10.1086/430443,1
10.1086/431416,1
10.1086/431471,1
10.1086/431784,3
10.1086/432099,1
10.1086/444372,1
10.1086/491595,1
10.1086/496956,1
10.1086/497024,2
10.1086/498106,2
10.1086/498388,1
10.1086/498700,2
10.1086/499399,1
10.1086/500426,1
10.1086/500918,1
10.1086/501341,1
10.1086/502621,2
10.1086/503362,1
10.1086/503521,1
10.1086/504704,1
10.1086/504966,1
10.1086/505018,2
10.1086/505562,1
10.1086/505628,1
10.1086/506191,1
10.1086/507015,2
10.1086/507273,1
10.1086/508051,1
10.1086/508350,1
10.1086/508530,1
10.1086/508532,1
10.1086/508621,1
10.1086/508643,2
10.1086/508921,1
10.1086/509147,1
10.1086/509322,1
10.1086/510570,1
10.1086/510571,1
10.1086/510828,1
10.1086/510879,1
10.1086/510898,1
10.1086/511059,1
10.1086/511060,1
10.1086/512478,1
10.1086/512599,1
10.1086/513005,1
10.1086/513090,1
10.1086/513464,1
10.1086/513712,1
10.1086/513869,1
10.1086/514817,1
10.1086/516578,1
10.1086/517962,3
10.1086/518302,1
10.1086/518397,1
10.1086/518414,1
10.1086/518877,1
10.1086/519068,3
10.1086/519308,1
10.1086/520530,1
10.1086/520711,1
10.1086/520808,1
10.1086/521044,1
10.1086/521094,2
10.1086/521427,1
10.1086/521433,2
10.1086/521646,1
10.1086/522194,1
10.1086/522303,1
10.1086/522623,1
10.1086/522690,1
10.1086/522827,1
10.1086/522908,1
10.1086/522942,1
10.1086/523265,1
10.1086/524361,1
10.1086/524984,1
10.1086/526426,1
10.1086/529026,1
10.1086/529117,1
10.1086/533431,1
10.1086/533464,1
10.1086/586736,1
10.1086/587637,1
10.1086/588722,3
10.1086/588730,1
10.1086/588810,1
10.1086/589137,1
10.1086/589627,1
10.1086/589914,1
10.1086/589922,1
10.1086/589991,1
10.1086/590105,1
10.1086/590142,1
10.1086/590232,1
10.1086/590416,1
10.1086/590555,1
10.1086/591019,1
10.1086/591023,1
10.1086/591024,1
10.1086/591085,1
10.1086/591436,1
10.1086/591542,1
10.1086/591648,1
10.1086/591779,1
10.1086/592287,1
10.1086/592373,2
10.1088/0004-6256/136/1/51,1
10.1088/0004-6256/136/6/2391,2
10.1088/0004-6256/136/6/2473,2
10.1088/0004-6256/137/5/4339,2
10.1088/0004-6256/137/6/4867,1
10.1088/0004-6256/137/6/4956,1
10.1088/0004-6256/137/6/5134,2
10.1088/0004-6256/138/2/568,2
10.1088/0004-6256/138/6/1985,2
10.1088/0004-6256/139/1/158,1
10.1088/0004-6256/139/2/348,2
10.1088/0004-6256/139/2/626,2
10.1088/0004-6256/139/4/1566,1
10.1088/0004-6256/139/5/1782,2
10.1088/0004-6256/139/5/2026,2
10.1088/0004-6256/139/6/2184,1
10.1088/0004-6256/139/6/2208,1
10.1088/0004-6256/139/6/2643,1
10.1088/0004-6256/140/1/75,1
10.1088/0004-6256/140/2/339,1
10.1088/0004-6256/140/2/379,2
10.1088/0004-6256/140/2/612,1
10.1088/0004-6256/140/2/652,1
10.1088/0004-6256/140/3/887,3
10.1088/0004-6256/140/3/897,3
10.1088/0004-6256/140/4/1062,2
10.1088/0004-6256/140/5/1486,1
10.1088/0004-6256/140/6/1623,1
10.1088/0004-6256/140/6/1646,1
10.1088/0004-6256/140/6/1814,2
10.1088/0004-6256/140/6/2101,2
10.1088/0004-6256/141/3/71,2
10.1088/0004-6256/142/1/2,2
10.1088/0004-6256/142/1/25,2
10.1088/0004-6256/142/2/42,1
10.1088/0004-6256/142/2/58,2
10.1088/0004-6256/142/3/72,1
10.1088/0004-6256/142/3/88,1
10.1088/0004-6256/142/4/128,1
10.1088/0004-6256/142/5/145,1
10.1088/0004-6256/142/5/155,2
10.1088/0004-6256/143/1/8,1
10.1088/0004-6256/143/2/38,1
10.1088/0004-6256/143/4/78,1
10.1088/0004-6256/143/4/90,1
10.1088/0004-6256/144/2/62,3
10.1088/0004-6256/144/5/125,1
10.1088/0004-6256/144/5/144,2
10.1088/0004-6256/144/5/152,1
10.1088/0004-6256/144/6/166,2
10.1088/0004-6256/144/6/173,1
10.1088/0004-6256/144/6/190,1
10.1088/0004-6256/145/1/10,3
10.1088/0004-6256/145/2/44,1
10.1088/0004-6256/145/3/69,1
10.1088/0004-6256/145/3/82,1
10.1088/0004-6256/145/5/125,1
10.1088/0004-6256/146/1/11,1
10.1088/0004-6256/146/2/32,1
10.1088/0004-6256/146/5/104,1
10.1088/0004-6256/146/5/110,1
10.1088/0004-6256/146/5/118,1
10.1088/0004-6256/147/3/61,2
10.1088/0004-6256/147/4/75,1
10.1088/0004-6256/147/5/95,1
10.1088/0004-6256/148/1/13,3
10.1088/0004-6256/148/1/14,3
10.1088/0004-6256/148/3/41,1
10.1088/0004-6256/148/3/53,3
10.1088/0004-6256/148/6/120,2
10.1088/0004-6256/148/6/122,3
10.1088/0004-6256/149/4/117,2
10.1088/0004-6256/149/4/123,1
10.1088/0004-6256/149/4/135,2
10.1088/0004-6256/150/1/19,1
10.1088/0004-6256/150/4/101,1
10.1088/0004-6256/150/4/118,4
10.1088/0004-6256/150/4/132,4
10.1088/0004-6256/150/5/145,4
10.1088/0004-6256/150/5/150,2
10.1088/0004-6256/150/5/159,1
10.1088/0004-6256/150/6/179,4
10.1088/0004-6256/150/6/189,4
10.1088/0004-637X/692/2/1464,1
10.1088/0004-637X/692/2/L123,1
10.1088/0004-637X/693/1/347,1
10.1088/0004-637X/693/1/617,1
