Alias,Software_Package
10.1051/0004-6361/201322068,1
10.1051/0004-6361:20031768,1
10.1051/0004-6361:20040017,1
10.1088/0067-0049/208/1/5,1
10.1093/mnras/stu055,1
1997ASPC..125..249M,1
1999ASPC..172..498M,1
2000ascl.soft03002S,1
2002ASPC..281..169M,1
2003ASPC..295..489J,1
2004A&A...417..159D,1
2004A&A...417..793P,1
2006ASPC..351..204M,1
2011ascl.soft08016D,1
2012ascl.soft02015D,1
2012ascl.soft03003C,1
2013A&A...558A..33A,1
2013ApJS..208....5N,1
AstroPy,1
Astropy,1
Astropy Collaboration,1
Astropy Collaboration 2013,1
DEEP2 DEIMOS Data Pipeline,1
DEEP2 DEIMOS data pipeline,1
DEEP2 DEIMOS data reduction pipeline,1
DEEP2 DEIMOS pipeline,1
DEIMOS pipeline,1
DS9,1
DS9 Region,1
HENDRICS,1
RADMC,1
RADMC-3D,1
RADMC3D,1
SAO Image,1
SAO image ds9,1
SAOIMAGE,1
SAOImage,1
SAOImage DS9,1
SAOImage ds9,1
Spec2d,1
Stingray,1
TARDIS,1
The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,1
WCS Tools,1
WCSLIB,1
WCSTOOLS,1
WCSTools,1
ascl:1202.015,1
ascl:1203.003,1
astro.berkeley.edu/~cooper/deep/spec2d,1
astroblend,1
astroblend.com,1
astron.berkeley.edu/~cooper/deep/spec2d,1
astropy,1
astropy cosmology,1
astropy.cosmology,1
astropy.org,1
astropy.units,1
astropy/astroplan,1
astropy/astroquery,1
astropy/halotools,1
astropy/photutils,1
cfa&hyphen;ftp.harvard.edu/pub/gsc/WCSTools,1
deep.berkeley.edu/spec2d,1
deep.ps.uci.edu/spec2d,1
doi.org/10.1051/0004-6361/201322068,1
ds9,1
ds9 Regions,1
ds9.si.edu,1
dullemond/software/radmc-3d,1
github.com/StingraySoftware/HENDRIC,1
github.com/StingraySoftware/notebooks,1
github.com/astropy/astroplan,1
github.com/astropy/astroquery,1
github.com/astropy/astroscrappy,1
github.com/astropy/halotools,1
github.com/astropy/photutils,1
hea&hyphen;www.harvard.edu/ChaMPlane/walkthrough_ds9,1
hea&hyphen;www.harvard.edu/RD/ds9,1
hea&hyphen;www.harvard.edu/RD/saotng,1
hea&hyphen;www.harvard.edu/saord/ds9,1
hea-www.harvard.edu/RD/ds9,1
hea-www.harvard.edu/saord/funtools/ds9,1
idlspec2d,1
imwcs,1
ita.uni-heidelberg.de/dullemond/software/radmc-3d,1
ita.uni-heidelberg.de/~dullemond/software/radmc-3d,1
ita.uni-heidelberg.de∼deullemond/software/radmc-3d,1
juno.as.arizona.edu/~cooper/deep/spec2d,1
keck.hawaii.edu/inst/deimos/pipeline.html,1
radmc,1
radmc-3d,1
radmc3d,1
radmc3dPy,1
saoimage,1
saoimage ds9,1
sdss3.org/svn/repo/idlspec2d,1
sky2xy,1
spec2d,1
spectro.princeton.edu/idlspec2d,1
stingray,1
svn.sdss.org/public/repo/manga/mangadrp/tags/v1_5_4/pro/spec2d,1
tardis,1
tdc&hyphen;www.harvard.edu/software/wcstools,1
tdc-www.cfa.harvard.edu/software/wcstools,1
tdc-www.harvard.edu/software/wcstools,1
tdc-www.harvard.edu/wcstools,1
wcstools,1
xy2sky,1
