Software_Package,Alias,Index
AstroBlend,astroblend,1
AstroBlend,astroblend.com,1
Astropy,10.1051/0004-6361/201322068,449
Astropy,2013A&A...558A..33A,441
Astropy,AstroPy,38
Astropy,Astropy,554
Astropy,Astropy Collaboration,443
Astropy,Astropy Collaboration 2013,1
Astropy,astropy,190
Astropy,astropy cosmology,1
Astropy,astropy.cosmology,13
Astropy,astropy.org,80
Astropy,astropy.units,2
Astropy,astropy/astroplan,1
Astropy,astropy/astroquery,2
Astropy,astropy/halotools,2
Astropy,astropy/photutils,3
Astropy,doi.org/10.1051/0004-6361/201322068,2
Astropy,github.com/StingraySoftware/HENDRIC,1
Astropy,github.com/StingraySoftware/notebooks,2
Astropy,github.com/astropy/astroplan,1
Astropy,github.com/astropy/astroquery,1
Astropy,github.com/astropy/astroscrappy,2
Astropy,github.com/astropy/halotools,3
Astropy,github.com/astropy/photutils,1
RADMC-3D,10.1051/0004-6361:20031768,96
RADMC-3D,10.1051/0004-6361:20040017,11
RADMC-3D,2004A&A...417..159D,96
RADMC-3D,2004A&A...417..793P,11
RADMC-3D,2011ascl.soft08016D,1
RADMC-3D,2012ascl.soft02015D,8
RADMC-3D,RADMC,158
RADMC-3D,RADMC-3D,252
RADMC-3D,RADMC3D,36
RADMC-3D,ascl:1202.015,2
RADMC-3D,dullemond/software/radmc-3d,8
RADMC-3D,ita.uni-heidelberg.de/dullemond/software/radmc-3d,13
RADMC-3D,ita.uni-heidelberg.de/~dullemond/software/radmc-3d,38
RADMC-3D,ita.uni-heidelberg.de∼deullemond/software/radmc-3d,1
RADMC-3D,radmc,8
RADMC-3D,radmc-3d,27
RADMC-3D,radmc3d,5
RADMC-3D,radmc3dPy,3
SAOImage DS9,2000ascl.soft03002S,1
SAOImage DS9,2003ASPC..295..489J,56
SAOImage DS9,DS9,98
SAOImage DS9,DS9 Region,1
SAOImage DS9,SAO Image,6
SAOImage DS9,SAO image ds9,1
SAOImage DS9,SAOIMAGE,12
SAOImage DS9,SAOImage,12
SAOImage DS9,SAOImage DS9,199
SAOImage DS9,SAOImage ds9,12
SAOImage DS9,ds9,50
SAOImage DS9,ds9 Regions,1
SAOImage DS9,ds9.si.edu,22
SAOImage DS9,hea&hyphen;www.harvard.edu/ChaMPlane/walkthrough_ds9,1
SAOImage DS9,hea&hyphen;www.harvard.edu/RD/ds9,8
SAOImage DS9,hea&hyphen;www.harvard.edu/RD/saotng,1
SAOImage DS9,hea&hyphen;www.harvard.edu/saord/ds9,1
SAOImage DS9,hea-www.harvard.edu/RD/ds9,17
SAOImage DS9,hea-www.harvard.edu/saord/funtools/ds9,1
SAOImage DS9,saoimage,1
SAOImage DS9,saoimage ds9,1
Spec2d,10.1088/0067-0049/208/1/5,124
Spec2d,2012ascl.soft03003C,22
Spec2d,2013ApJS..208....5N,123
Spec2d,DEEP2 DEIMOS Data Pipeline,2
Spec2d,DEEP2 DEIMOS data pipeline,4
Spec2d,DEEP2 DEIMOS data reduction pipeline,7
Spec2d,DEEP2 DEIMOS pipeline,8
Spec2d,DEIMOS pipeline,11
Spec2d,Spec2d,6
Spec2d,The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,32
Spec2d,ascl:1203.003,9
Spec2d,astro.berkeley.edu/~cooper/deep/spec2d,27
Spec2d,astron.berkeley.edu/~cooper/deep/spec2d,9
Spec2d,deep.berkeley.edu/spec2d,8
Spec2d,deep.ps.uci.edu/spec2d,3
Spec2d,idlspec2d,168
Spec2d,juno.as.arizona.edu/~cooper/deep/spec2d,1
Spec2d,keck.hawaii.edu/inst/deimos/pipeline.html,5
Spec2d,sdss3.org/svn/repo/idlspec2d,4
Spec2d,spec2d,214
Spec2d,spectro.princeton.edu/idlspec2d,12
Spec2d,svn.sdss.org/public/repo/manga/mangadrp/tags/v1_5_4/pro/spec2d,6
Stingray,HENDRICS,2
Stingray,Stingray,4
Stingray,stingray,3
TARDIS,10.1093/mnras/stu055,4
TARDIS,TARDIS,8
TARDIS,tardis,5
WCSTools,1997ASPC..125..249M,11
WCSTools,1999ASPC..172..498M,10
WCSTools,2002ASPC..281..169M,13
WCSTools,2006ASPC..351..204M,4
WCSTools,WCS Tools,1
WCSTools,WCSLIB,3
WCSTools,WCSTOOLS,19
WCSTools,WCSTools,79
WCSTools,cfa&hyphen;ftp.harvard.edu/pub/gsc/WCSTools,3
WCSTools,imwcs,32
WCSTools,sky2xy,1
WCSTools,tdc&hyphen;www.harvard.edu/software/wcstools,9
WCSTools,tdc-www.cfa.harvard.edu/software/wcstools,2
WCSTools,tdc-www.harvard.edu/software/wcstools,10
WCSTools,tdc-www.harvard.edu/wcstools,11
WCSTools,wcstools,16
WCSTools,xy2sky,9
