Alias,Pub_Year,File_Name
10.1051/0004-6361/201322068,2013,2
10.1051/0004-6361/201322068,2014,35
10.1051/0004-6361/201322068,2015,53
10.1051/0004-6361/201322068,2016,91
10.1051/0004-6361/201322068,2017,165
10.1051/0004-6361/201322068,2018,103
10.1051/0004-6361:20031768,2009,13
10.1051/0004-6361:20031768,2010,17
10.1051/0004-6361:20031768,2011,12
10.1051/0004-6361:20031768,2012,18
10.1051/0004-6361:20031768,2013,7
10.1051/0004-6361:20031768,2014,4
10.1051/0004-6361:20031768,2015,8
10.1051/0004-6361:20031768,2016,8
10.1051/0004-6361:20031768,2017,6
10.1051/0004-6361:20031768,2018,3
10.1051/0004-6361:20040017,2009,1
10.1051/0004-6361:20040017,2010,2
10.1051/0004-6361:20040017,2011,2
10.1051/0004-6361:20040017,2012,2
10.1051/0004-6361:20040017,2014,2
10.1051/0004-6361:20040017,2015,2
10.1088/0067-0049/208/1/5,2013,5
10.1088/0067-0049/208/1/5,2014,23
10.1088/0067-0049/208/1/5,2015,32
10.1088/0067-0049/208/1/5,2016,29
10.1088/0067-0049/208/1/5,2017,26
10.1088/0067-0049/208/1/5,2018,9
10.1093/mnras/stu055,2015,1
10.1093/mnras/stu055,2016,2
10.1093/mnras/stu055,2017,1
1997ASPC..125..249M,2010,1
1997ASPC..125..249M,2011,3
1997ASPC..125..249M,2012,1
1997ASPC..125..249M,2013,1
1997ASPC..125..249M,2014,1
1997ASPC..125..249M,2016,1
1997ASPC..125..249M,2017,3
1999ASPC..172..498M,2008,1
1999ASPC..172..498M,2010,5
1999ASPC..172..498M,2012,1
1999ASPC..172..498M,2013,1
1999ASPC..172..498M,2017,1
1999ASPC..172..498M,2018,1
2000ascl.soft03002S,2017,1
2002ASPC..281..169M,2009,1
2002ASPC..281..169M,2010,2
2002ASPC..281..169M,2011,3
2002ASPC..281..169M,2012,2
2002ASPC..281..169M,2013,1
2002ASPC..281..169M,2015,3
2002ASPC..281..169M,2016,1
2003ASPC..295..489J,2008,1
2003ASPC..295..489J,2009,5
2003ASPC..295..489J,2010,5
2003ASPC..295..489J,2011,11
2003ASPC..295..489J,2012,7
2003ASPC..295..489J,2013,6
2003ASPC..295..489J,2014,4
2003ASPC..295..489J,2015,2
2003ASPC..295..489J,2016,6
2003ASPC..295..489J,2017,6
2003ASPC..295..489J,2018,3
2004A&A...417..159D,2009,13
2004A&A...417..159D,2010,17
2004A&A...417..159D,2011,12
2004A&A...417..159D,2012,18
2004A&A...417..159D,2013,7
2004A&A...417..159D,2014,4
2004A&A...417..159D,2015,8
2004A&A...417..159D,2016,8
2004A&A...417..159D,2017,6
2004A&A...417..159D,2018,3
2004A&A...417..793P,2009,1
2004A&A...417..793P,2010,2
2004A&A...417..793P,2011,2
2004A&A...417..793P,2012,2
2004A&A...417..793P,2014,2
2004A&A...417..793P,2015,2
2006ASPC..351..204M,2010,2
2006ASPC..351..204M,2011,1
2006ASPC..351..204M,2013,1
2011ascl.soft08016D,2017,1
2012ascl.soft02015D,2013,1
2012ascl.soft02015D,2014,1
2012ascl.soft02015D,2015,2
2012ascl.soft02015D,2016,2
2012ascl.soft02015D,2017,2
2012ascl.soft03003C,2012,2
2012ascl.soft03003C,2013,5
2012ascl.soft03003C,2014,2
2012ascl.soft03003C,2015,7
2012ascl.soft03003C,2016,5
2012ascl.soft03003C,2018,1
2013A&A...558A..33A,2013,2
2013A&A...558A..33A,2014,35
2013A&A...558A..33A,2015,55
2013A&A...558A..33A,2016,87
2013A&A...558A..33A,2017,160
2013A&A...558A..33A,2018,102
2013ApJS..208....5N,2013,4
2013ApJS..208....5N,2014,23
2013ApJS..208....5N,2015,32
2013ApJS..208....5N,2016,29
2013ApJS..208....5N,2017,26
2013ApJS..208....5N,2018,9
AstroPy,2016,9
AstroPy,2017,8
AstroPy,2018,10
Astropy,2012,1
Astropy,2013,3
Astropy,2014,35
Astropy,2015,56
Astropy,2016,94
Astropy,2017,157
Astropy,2018,83
Astropy Collaboration,2013,1
Astropy Collaboration,2014,33
Astropy Collaboration,2015,55
Astropy Collaboration,2016,85
Astropy Collaboration,2017,159
Astropy Collaboration,2018,100
Astropy Collaboration 2013,2015,1
DEEP2 DEIMOS Data Pipeline,2012,1
DEEP2 DEIMOS Data Pipeline,2014,1
DEEP2 DEIMOS data pipeline,2005,1
