Software_Package,Alias,Identifier,fn_count
AstroBlend,astroblend.com,0,1
Astropy,Astropy,0,4
Astropy,astropy,0,2
Astropy,astropy.org,0,40
Astropy,github.com/astropy/astroplan,0,1
Astropy,github.com/astropy/astroquery,0,1
Astropy,github.com/astropy/astroscrappy,0,2
Astropy,github.com/astropy/photutils,0,1
RADMC-3D,RADMC,0,2
RADMC-3D,RADMC-3D,0,3
RADMC-3D,dullemond/software/radmc-3d,0,8
RADMC-3D,ita.uni-heidelberg.de/dullemond/software/radmc-3d,0,7
RADMC-3D,ita.uni-heidelberg.de/~dullemond/software/radmc-3d,0,34
RADMC-3D,ita.uni-heidelberg.de∼deullemond/software/radmc-3d,0,1
RADMC-3D,radmc,0,2
RADMC-3D,radmc-3d,0,2
SAOImage DS9,DS9,0,2
SAOImage DS9,SAO Image,0,1
SAOImage DS9,SAO image ds9,0,1
SAOImage DS9,SAOImage DS9,0,6
SAOImage DS9,ds9,0,1
SAOImage DS9,ds9.si.edu,0,17
SAOImage DS9,hea&hyphen;www.harvard.edu/ChaMPlane/walkthrough_ds9,0,1
SAOImage DS9,hea&hyphen;www.harvard.edu/RD/ds9,0,7
SAOImage DS9,hea&hyphen;www.harvard.edu/RD/saotng,0,1
SAOImage DS9,hea&hyphen;www.harvard.edu/saord/ds9,0,1
SAOImage DS9,hea-www.harvard.edu/RD/ds9,0,12
SAOImage DS9,hea-www.harvard.edu/saord/funtools/ds9,0,1
Spec2d,The analysis pipeline used to reduce the DEIMOS data was developed at UC Berkeley with support from NSF grant AST-0071048.,0,2
Spec2d,astro.berkeley.edu/~cooper/deep/spec2d,0,24
Spec2d,astron.berkeley.edu/~cooper/deep/spec2d,0,9
Spec2d,deep.berkeley.edu/spec2d,0,7
Spec2d,deep.ps.uci.edu/spec2d,0,3
Spec2d,idlspec2d,0,4
Spec2d,juno.as.arizona.edu/~cooper/deep/spec2d,0,1
Spec2d,keck.hawaii.edu/inst/deimos/pipeline.html,0,5
Spec2d,sdss3.org/svn/repo/idlspec2d,0,4
Spec2d,spec2d,0,8
Spec2d,spectro.princeton.edu/idlspec2d,0,12
Stingray,github.com/StingraySoftware/HENDRIC,0,1
Stingray,github.com/StingraySoftware/notebooks,0,1
WCSTools,WCSTools,0,5
WCSTools,cfa&hyphen;ftp.harvard.edu/pub/gsc/WCSTools,0,3
WCSTools,tdc&hyphen;www.harvard.edu/software/wcstools,0,8
WCSTools,tdc-www.cfa.harvard.edu/software/wcstools,0,2
WCSTools,tdc-www.harvard.edu/software/wcstools,0,8
WCSTools,tdc-www.harvard.edu/wcstools,0,10
WCSTools,wcstools,0,2
