Software_Package,Alias,Count
Astropy,10.1051/0004-6361/201322068,449
Astropy,2013A&A...558A..33A,441
Astropy,doi.org/10.1051/0004-6361/201322068,2
RADMC-3D,10.1051/0004-6361:20031768,96
RADMC-3D,10.1051/0004-6361:20040017,11
RADMC-3D,2004A&A...417..159D,96
RADMC-3D,2004A&A...417..793P,11
RADMC-3D,2011ascl.soft08016D,1
RADMC-3D,2012ascl.soft02015D,8
RADMC-3D,ascl:1202.015,2
SAOImage DS9,2000ascl.soft03002S,1
SAOImage DS9,2003ASPC..295..489J,56
Spec2d,10.1088/0067-0049/208/1/5,124
Spec2d,2012ascl.soft03003C,22
Spec2d,2013ApJS..208....5N,123
Spec2d,ascl:1203.003,9
TARDIS,10.1093/mnras/stu055,4
WCSTools,1997ASPC..125..249M,11
WCSTools,1999ASPC..172..498M,10
WCSTools,2002ASPC..281..169M,13
WCSTools,2006ASPC..351..204M,4
