Software_Package,Parent2_Tag,Count
AstroBlend,p,2
Astropy,abstract,1
Astropy,ack,549
Astropy,aff,1
Astropy,app,4
Astropy,disp-formula,3
Astropy,element-citation,852
Astropy,fn,4
Astropy,list-item,6
Astropy,name,9
Astropy,nlm-citation,88
Astropy,p,239
Astropy,person-group,388
Astropy,sec,84
Astropy,td,1
Astropy,tr,1
RADMC-3D,abstract,3
RADMC-3D,ack,21
RADMC-3D,app,21
RADMC-3D,article-title,2
RADMC-3D,caption,42
RADMC-3D,comment,6
RADMC-3D,element-citation,88
RADMC-3D,fn,5
RADMC-3D,list-item,3
RADMC-3D,nlm-citation,173
RADMC-3D,p,155
RADMC-3D,sec,251
RADMC-3D,tr,4
SAOImage DS9,ack,125
SAOImage DS9,app,7
SAOImage DS9,caption,27
SAOImage DS9,element-citation,19
SAOImage DS9,fn,12
SAOImage DS9,list-item,3
SAOImage DS9,nlm-citation,39
SAOImage DS9,p,75
SAOImage DS9,sec,195
Spec2d,abstract,1
Spec2d,ack,35
Spec2d,app,2
Spec2d,article-meta,1
Spec2d,article-title,2
Spec2d,caption,6
Spec2d,comment,3
Spec2d,element-citation,214
Spec2d,fn,12
Spec2d,nlm-citation,91
Spec2d,oasis:entry,2
Spec2d,p,309
Spec2d,sec,125
Spec2d,title,2
Stingray,element-citation,1
Stingray,fn,1
Stingray,p,7
Stingray,sec,3
TARDIS,element-citation,4
TARDIS,p,5
TARDIS,sec,8
WCSTools,ack,2
WCSTools,app,4
WCSTools,comment,1
WCSTools,element-citation,10
WCSTools,fn,5
WCSTools,inline-formula,1
WCSTools,list-item,2
WCSTools,nlm-citation,28
WCSTools,p,84
WCSTools,sec,96
