,Software_Package,Alias,Identifier,File_Name,count
0,AstroPy,10.1051/0004-6361/201322068,1,aj_148_6_122.xml,1
1,AstroPy,10.1051/0004-6361/201322068,1,aj_151_6_173.xml,1
2,AstroPy,10.1051/0004-6361/201322068,1,aj_152_6_228.xml,1
3,AstroPy,10.1051/0004-6361/201322068,1,aj_153_3_98.xml,1
4,AstroPy,10.1051/0004-6361/201322068,1,aj_153_6_243.xml,1
5,AstroPy,10.1051/0004-6361/201322068,1,aj_154_1_7.xml,1
6,AstroPy,10.1051/0004-6361/201322068,1,aj_154_4_136.xml,1
7,AstroPy,10.1051/0004-6361/201322068,1,aj_154_6_218.xml,1
8,AstroPy,10.1051/0004-6361/201322068,1,aj_154_6_220.xml,1
9,AstroPy,10.1051/0004-6361/201322068,1,aj_154_6_228.xml,1
10,AstroPy,10.1051/0004-6361/201322068,1,aj_155_5_194.xml,1
11,AstroPy,10.1051/0004-6361/201322068,1,apj_791_2_108.xml,1
12,AstroPy,10.1051/0004-6361/201322068,1,apj_795_2_105.xml,1
13,AstroPy,10.1051/0004-6361/201322068,1,apj_801_1_60.xml,1
14,AstroPy,10.1051/0004-6361/201322068,1,apj_803_1_29.xml,1
15,AstroPy,10.1051/0004-6361/201322068,1,apj_806_2_149.xml,1
16,AstroPy,10.1051/0004-6361/201322068,1,apj_809_2_110.xml,1
17,AstroPy,10.1051/0004-6361/201322068,1,apj_811_1_23.xml,1
18,AstroPy,10.1051/0004-6361/201322068,1,apj_811_2_78.xml,1
19,AstroPy,10.1051/0004-6361/201322068,1,apj_813_1_31.xml,1
20,AstroPy,10.1051/0004-6361/201322068,1,apj_814_1_39.xml,1
21,AstroPy,10.1051/0004-6361/201322068,1,apj_815_1_62.xml,1
22,AstroPy,10.1051/0004-6361/201322068,1,apj_816_1_27.xml,1
23,AstroPy,10.1051/0004-6361/201322068,1,apj_818_2_156.xml,1
24,AstroPy,10.1051/0004-6361/201322068,1,apj_822_1_30.xml,1
25,AstroPy,10.1051/0004-6361/201322068,1,apj_824_2_104.xml,1
26,AstroPy,10.1051/0004-6361/201322068,1,apj_825_2_142.xml,1
27,AstroPy,10.1051/0004-6361/201322068,1,apj_825_2_91.xml,1
28,AstroPy,10.1051/0004-6361/201322068,1,apj_826_2_109.xml,1
29,AstroPy,10.1051/0004-6361/201322068,1,apj_827_1_58.xml,1
