,Parent1_Tag,Parent2_Tag,Parent3_Tag,Parent4_Tag,Software_Package,tags
0,ext-link,,,,AstroBlend,1
1,ext-link,,,,AstroPy,572
2,monospace,,,,AstroPy,5
3,p,,,,AstroPy,24
4,pub-id,,,,AstroPy,405
5,sans-serif,,,,AstroPy,1
6,sc,,,,AstroPy,2
7,article-title,,,,RADMC-3D,19
8,comment,,,,RADMC-3D,5
9,ext-link,,,,RADMC-3D,267
10,fpage,,,,RADMC-3D,1
11,italic,,,,RADMC-3D,2
12,monospace,,,,RADMC-3D,26
13,p,,,,RADMC-3D,177
14,pub-id,,,,RADMC-3D,23
15,sc,,,,RADMC-3D,36
16,source,,,,RADMC-3D,13
17,td,,,,RADMC-3D,2
18,title,,,,RADMC-3D,1
19,volume,,,,RADMC-3D,1
20,ext-link,,,,SAOImage DS9,79
21,italic,,,,SAOImage DS9,15
22,monospace,,,,SAOImage DS9,3
23,p,,,,SAOImage DS9,351
24,sc,,,,SAOImage DS9,4
25,source,,,,SAOImage DS9,1
26,title,,,,SAOImage DS9,1
27,article-id,,,,Spec2d,1
28,article-title,,,,Spec2d,6
29,comment,,,,Spec2d,4
30,ext-link,,,,Spec2d,233
31,fpage,,,,Spec2d,1
32,italic,,,,Spec2d,36
33,monospace,,,,Spec2d,60
34,p,,,,Spec2d,118
35,pub-id,,,,Spec2d,90
36,sc,,,,Spec2d,6
37,source,,,,Spec2d,26
38,ext-link,,,,Stingray,2
39,monospace,,,,Stingray,4
40,p,,,,Stingray,2
41,source,,,,Stingray,1
42,p,,,,TARDIS,8
43,pub-id,,,,TARDIS,4
44,ext-link,,,,WCS Tools,75
45,italic,,,,WCS Tools,21
46,monospace,,,,WCS Tools,19
47,p,,,,WCS Tools,88
48,sc,,,,WCS Tools,3
49,tex-math,,,,WCS Tools,1
0,,p,,,AstroBlend,1
1,,ack,,,AstroPy,20
2,,element-citation,,,AstroPy,802
3,,list-item,,,AstroPy,2
4,,nlm-citation,,,AstroPy,88
5,,p,,,AstroPy,95
6,,sec,,,AstroPy,2
7,,abstract,,,RADMC-3D,3
8,,ack,,,RADMC-3D,13
9,,app,,,RADMC-3D,14
10,,article-title,,,RADMC-3D,2
11,,caption,,,RADMC-3D,28
12,,comment,,,RADMC-3D,6
13,,element-citation,,,RADMC-3D,88
14,,fn,,,RADMC-3D,3
15,,list-item,,,RADMC-3D,2
16,,nlm-citation,,,RADMC-3D,173
17,,p,,,RADMC-3D,124
18,,sec,,,RADMC-3D,115
19,,tr,,,RADMC-3D,2
20,,ack,,,SAOImage DS9,127
21,,app,,,SAOImage DS9,6
22,,caption,,,SAOImage DS9,25
23,,element-citation,,,SAOImage DS9,19
24,,fn,,,SAOImage DS9,10
25,,list-item,,,SAOImage DS9,2
26,,nlm-citation,,,SAOImage DS9,39
27,,p,,,SAOImage DS9,44
28,,sec,,,SAOImage DS9,182
29,,ack,,,Spec2d,35
30,,app,,,Spec2d,1
31,,article-meta,,,Spec2d,1
32,,article-title,,,Spec2d,2
33,,comment,,,Spec2d,3
34,,element-citation,,,Spec2d,214
35,,fn,,,Spec2d,12
36,,nlm-citation,,,Spec2d,91
37,,oasis:entry,,,Spec2d,2
38,,p,,,Spec2d,149
39,,sec,,,Spec2d,70
40,,title,,,Spec2d,1
41,,ack,,,Stingray,1
42,,element-citation,,,Stingray,1
43,,fn,,,Stingray,1
44,,p,,,Stingray,6
45,,element-citation,,,TARDIS,4
46,,sec,,,TARDIS,8
47,,ack,,,WCS Tools,1
48,,app,,,WCS Tools,3
49,,comment,,,WCS Tools,1
50,,element-citation,,,WCS Tools,10
51,,fn,,,WCS Tools,5
52,,inline-formula,,,WCS Tools,1
53,,list-item,,,WCS Tools,2
54,,nlm-citation,,,WCS Tools,28
55,,p,,,WCS Tools,79
56,,sec,,,WCS Tools,77
0,,,fn,,AstroBlend,1
1,,,abstract,,AstroPy,1
2,,,ack,,AstroPy,40
3,,,article,,AstroPy,1
4,,,back,,AstroPy,20
5,,,fn,,AstroPy,49
6,,,list,,AstroPy,2
7,,,ref,,AstroPy,890
8,,,sec,,AstroPy,6
9,,,ack,,RADMC-3D,6
10,,,app,,RADMC-3D,4
11,,,app-group,,RADMC-3D,14
12,,,article,,RADMC-3D,33
13,,,article-meta,,RADMC-3D,3
14,,,back,,RADMC-3D,13
15,,,caption,,RADMC-3D,2
16,,,element-citation,,RADMC-3D,7
17,,,fig,,RADMC-3D,28
18,,,fn,,RADMC-3D,54
19,,,list,,RADMC-3D,2
20,,,list-item,,RADMC-3D,1
21,,,nlm-citation,,RADMC-3D,1
22,,,p,,RADMC-3D,3
23,,,ref,,RADMC-3D,261
24,,,sec,,RADMC-3D,139
25,,,tbody,,RADMC-3D,2
26,,,ack,,SAOImage DS9,44
27,,,app,,SAOImage DS9,8
28,,,app-group,,SAOImage DS9,6
29,,,article,,SAOImage DS9,46
30,,,back,,SAOImage DS9,127
31,,,caption,,SAOImage DS9,2
32,,,fig,,SAOImage DS9,19
33,,,fig-group,,SAOImage DS9,6
34,,,fn,,SAOImage DS9,17
35,,,fn-group,,SAOImage DS9,1
36,,,list,,SAOImage DS9,2
37,,,list-item,,SAOImage DS9,2
38,,,p,,SAOImage DS9,7
39,,,ref,,SAOImage DS9,58
40,,,sec,,SAOImage DS9,107
41,,,table-wrap-foot,,SAOImage DS9,2
42,,,abstract,,Spec2d,1
43,,,ack,,Spec2d,4
44,,,app-group,,Spec2d,1
45,,,article,,Spec2d,18
46,,,back,,Spec2d,35
47,,,caption,,Spec2d,1
48,,,element-citation,,Spec2d,3
49,,,fn,,Spec2d,45
50,,,fn-group,,Spec2d,8
51,,,front,,Spec2d,1
52,,,list-item,,Spec2d,6
53,,,nlm-citation,,Spec2d,2
54,,,oasis:row,,Spec2d,2
55,,,p,,Spec2d,4
56,,,ref,,Spec2d,305
57,,,sec,,Spec2d,145
58,,,back,,Stingray,1
59,,,fn,,Stingray,2
60,,,p,,Stingray,1
61,,,ref,,Stingray,1
62,,,sec,,Stingray,4
63,,,article,,TARDIS,7
64,,,ref,,TARDIS,4
65,,,sec,,TARDIS,1
66,,,ack,,WCS Tools,8
67,,,app,,WCS Tools,1
68,,,app-group,,WCS Tools,3
69,,,article,,WCS Tools,23
70,,,back,,WCS Tools,1
71,,,element-citation,,WCS Tools,1
72,,,fn,,WCS Tools,33
73,,,fn-group,,WCS Tools,3
74,,,list,,WCS Tools,2
75,,,list-item,,WCS Tools,1
76,,,p,,WCS Tools,3
77,,,ref,,WCS Tools,38
78,,,sec,,WCS Tools,90
0,,,,p,AstroBlend,1
1,,,,article,AstroPy,23
2,,,,article-meta,AstroPy,1
3,,,,back,AstroPy,40
4,,,,body,AstroPy,1
5,,,,p,AstroPy,51
6,,,,ref-list,AstroPy,890
7,,,,sec,AstroPy,3
8,,,,app,RADMC-3D,4
9,,,,app-group,RADMC-3D,4
10,,,,article,RADMC-3D,101
11,,,,back,RADMC-3D,20
12,,,,body,RADMC-3D,33
13,,,,fig,RADMC-3D,1
14,,,,front,RADMC-3D,3
15,,,,list,RADMC-3D,1
16,,,,p,RADMC-3D,55
17,,,,ref,RADMC-3D,8
18,,,,ref-list,RADMC-3D,261
19,,,,sec,RADMC-3D,78
20,,,,table,RADMC-3D,2
21,,,,table-wrap,RADMC-3D,1
22,,,,table-wrap-foot,RADMC-3D,1
23,,,,app,SAOImage DS9,1
24,,,,app-group,SAOImage DS9,8
25,,,,article,SAOImage DS9,210
26,,,,back,SAOImage DS9,50
27,,,,body,SAOImage DS9,46
28,,,,fig,SAOImage DS9,2
29,,,,list,SAOImage DS9,2
30,,,,list-item,SAOImage DS9,1
31,,,,p,SAOImage DS9,25
32,,,,ref-list,SAOImage DS9,58
33,,,,sec,SAOImage DS9,49
34,,,,table-wrap,SAOImage DS9,2
35,,,,ack,Spec2d,3
36,,,,article,Spec2d,87
37,,,,article-meta,Spec2d,1
38,,,,back,Spec2d,5
39,,,,body,Spec2d,18
40,,,,fig,Spec2d,1
41,,,,fn-group,Spec2d,10
42,,,,list,Spec2d,6
43,,,,oasis:tbody,Spec2d,2
44,,,,p,Spec2d,35
45,,,,ref,Spec2d,5
46,,,,ref-list,Spec2d,305
47,,,,sec,Spec2d,103
48,,,,article,Stingray,1
49,,,,p,Stingray,2
50,,,,ref-list,Stingray,1
51,,,,sec,Stingray,5
52,,,,article,TARDIS,1
53,,,,body,TARDIS,7
54,,,,ref-list,TARDIS,4
55,,,,ack,WCS Tools,1
56,,,,app-group,WCS Tools,1
57,,,,article,WCS Tools,58
58,,,,back,WCS Tools,11
59,,,,body,WCS Tools,23
60,,,,fn-group,WCS Tools,12
61,,,,list,WCS Tools,1
62,,,,p,WCS Tools,23
63,,,,ref,WCS Tools,1
64,,,,ref-list,WCS Tools,38
65,,,,sec,WCS Tools,38
