,Software_Package,Pub_Year,Count
0,AstroBlend,2016,1
1,AstroPy,2013,7
2,AstroPy,2014,78
3,AstroPy,2015,120
4,AstroPy,2016,212
5,AstroPy,2017,364
6,AstroPy,2018,228
7,RADMC-3D,2009,28
8,RADMC-3D,2010,46
9,RADMC-3D,2011,29
10,RADMC-3D,2012,54
11,RADMC-3D,2013,32
12,RADMC-3D,2014,39
13,RADMC-3D,2015,113
14,RADMC-3D,2016,76
15,RADMC-3D,2017,111
16,RADMC-3D,2018,45
17,SAOImage DS9,1995,7
18,SAOImage DS9,1996,6
19,SAOImage DS9,1997,25
20,SAOImage DS9,1998,44
21,SAOImage DS9,1999,73
22,SAOImage DS9,2000,36
23,SAOImage DS9,2001,11
24,SAOImage DS9,2002,87
25,SAOImage DS9,2003,12
26,SAOImage DS9,2004,41
27,SAOImage DS9,2005,45
28,SAOImage DS9,2006,31
29,SAOImage DS9,2007,52
30,SAOImage DS9,2008,93
31,SAOImage DS9,2009,133
32,SAOImage DS9,2010,60
33,SAOImage DS9,2011,53
34,SAOImage DS9,2012,84
35,SAOImage DS9,2013,63
36,SAOImage DS9,2014,55
37,SAOImage DS9,2015,83
38,SAOImage DS9,2016,88
39,SAOImage DS9,2017,83
40,SAOImage DS9,2018,63
41,Spec2d,2002,2
42,Spec2d,2003,2
43,Spec2d,2004,4
44,Spec2d,2005,3
45,Spec2d,2006,20
46,Spec2d,2007,16
47,Spec2d,2008,11
48,Spec2d,2009,32
49,Spec2d,2010,16
50,Spec2d,2011,29
51,Spec2d,2012,41
52,Spec2d,2013,51
53,Spec2d,2014,64
54,Spec2d,2015,95
55,Spec2d,2016,95
56,Spec2d,2017,71
57,Spec2d,2018,29
58,Stingray,2015,3
59,Stingray,2017,1
60,Stingray,2018,9
61,TARDIS,2002,1
62,TARDIS,2015,1
63,TARDIS,2016,2
64,TARDIS,2017,7
65,WCS Tools,1998,1
66,WCS Tools,1999,1
67,WCS Tools,2001,4
68,WCS Tools,2002,9
69,WCS Tools,2003,4
70,WCS Tools,2004,7
71,WCS Tools,2005,13
72,WCS Tools,2006,7
73,WCS Tools,2007,13
74,WCS Tools,2008,7
75,WCS Tools,2009,10
76,WCS Tools,2010,34
77,WCS Tools,2011,26
78,WCS Tools,2012,23
79,WCS Tools,2013,14
80,WCS Tools,2014,3
81,WCS Tools,2015,9
82,WCS Tools,2016,7
83,WCS Tools,2017,13
84,WCS Tools,2018,2
