"","Software_name","File_name","Article_id","Alias","ID","XML_tag1","XML_tag2","XML_tag1_content","XML_tag2_content","Publication_year","Journal_title","Publisher"
"1","AstroPy","aj_152_6_212.xml","ajaa4532, 10.3847/0004-6256/152/6/212, aa4532, AAS01865","astropy",0,"p","ack","<italic>Software:</italic> Python, astropy, matplotlib, scipy, numpy, supermongo, SWIFT.","
<p>This research was supported by funding from th",2016,"The Astronomical Journal","The American Astronomical Society"
"2","AstroPy","aj_153_6_262.xml","ajaa6db5, 10.3847/1538-3881/aa6db5, aa6db5, AAS04857","astropy",0,"p","ack","<italic>Software:</italic> Python, astropy, trippy","
<p>The authors recognize and acknowledge the sacr",2017,"The Astronomical Journal","The American Astronomical Society"
"3","AstroPy","aj_155_2_95.xml","ajaaa5a6, 10.3847/1538-3881/aaa5a6, aaa5a6, AAS07734","astropy",0,"p","ack","<italic>Software:</italic> python, astropy, IDL, emcee.","
<p>Based on observations made with the NASA/ESA <",2018,"The Astronomical Journal","The American Astronomical Society"
"4","AstroPy","apj_768_1_50.xml","apj464791, ASJOAB, 10.1088/0004-637X/768/1/50, 464791, ApJ90692","astropy",0,"ext-link","p","http://www.astropy.org","This research made use of Astropy (<ext-link ext-l",2013,"The Astrophysical Journal","The American Astronomical Society"
"5","AstroPy","apj_782_1_29.xml","apj489619, ASJOAB, 10.1088/0004-637X/782/1/29, 489619, ApJ93187","astropy",0,"ext-link","p","http://www.astropython.org","Python code available at <ext-link ext-link-type=""url"">http://www.astropython.org</ext-link>.",2014,"The Astrophysical Journal","The American Astronomical Society"
"6","AstroPy","apj_790_1_43.xml","apj497193, ASJOAB, 10.1088/0004-637X/790/1/43, 497193, LET31068","astropy",0,"ext-link","p","http://www.astropy.org","We thank the anonymous referee for a very helpful ",2014,"The Astrophysical Journal","The American Astronomical Society"
"7","AstroPy","apj_812_1_12.xml","apj519396, 10.1088/0004-637X/812/1/12, 519396, ApJ98740","astropy",0,"ext-link","p","http://astropy.org","We are thankful to Willie Soon and Sallie Baliunas",2015,"The Astrophysical Journal","The American Astronomical Society"
"8","AstroPy","apj_813_2_102.xml","apj520927, 10.1088/0004-637X/813/2/102, 520927, ApJ98892","astropy",0,"p","ack","S.B. thanks Sebastian Seehars, Claudio Bruderer, A","
<p>S.B. thanks Sebastian Seehars, Claudio Brudere",2015,"The Astrophysical Journal","The American Astronomical Society"
"9","AstroPy","apj_814_2_108.xml","apj521122, 10.1088/0004-637X/814/2/108, 521122, ApJ100034","astropy",0,"p","sec","iPTF13ehe was observed on six different epochs. Fi","
<label>3.2.</label>
<title>Photospheric and Nebul",2015,"The Astrophysical Journal","The American Astronomical Society"
"10","AstroPy","apj_818_1_73.xml","apj522345, 10.3847/0004-637X/818/1/73, 522345, ApJ100678","astropy",0,"ext-link","p","http://www.astropy.org","We thank the anonymous referee for constructive su",2016,"The Astrophysical Journal","The American Astronomical Society"
"11","AstroPy","apj_827_2_149.xml","apjaa2efd, 10.3847/0004-637X/827/2/149, aa2efd, ApJ102224","astropy",0,"ext-link","p","www.astropy.org/","
<ext-link ext-link-type=""uri"" xlink:href=""www.astropy.org/"">www.astropy.org/</ext-link>
",2016,"The Astrophysical Journal","The American Astronomical Society"
"12","AstroPy","apj_829_2_93.xml","apjaa22ea, 10.3847/0004-637X/829/2/93, aa22ea, ApJ100160","astropy",0,"p","ack","We thank the anonymous referee for a thorough and ","
<p>We thank the anonymous referee for a thorough ",2016,"The Astrophysical Journal","The American Astronomical Society"
"13","AstroPy","apj_831_1_32.xml","apjaa39e7, 10.3847/0004-637X/831/1/32, aa39e7, ApJ101656","astropy",0,"ext-link","p","http://www.astropy.org","This research made use of astrodendro, a Python pa",2016,"The Astrophysical Journal","The American Astronomical Society"
"14","AstroPy","apj_832_1_67.xml","apjaa3fa7, 10.3847/0004-637X/832/1/67, aa3fa7, AAS00955","astropy",0,"p","sec","To investigate the ionization structure of the NLR","
<label>2.4.</label>
<title>The Luminosity of the ",2016,"The Astrophysical Journal","The American Astronomical Society"
"15","AstroPy","apj_832_1_8.xml","apjaa3d2b, 10.3847/0004-637X/832/1/8, aa3d2b, AAS01429","astropy",0,"p","ack","The bulk of our computations was performed on the ","
<p>We thank the anonymous referee whose remarks a",2016,"The Astrophysical Journal","The American Astronomical Society"
"16","AstroPy","apj_832_1_8.xml","apjaa3d2b, 10.3847/0004-637X/832/1/8, aa3d2b, AAS01429","astropy",0,"ext-link","p","www.astropy.org/","
<ext-link ext-link-type=""uri"" xlink:href=""www.astropy.org/"">www.astropy.org/</ext-link>
",2016,"The Astrophysical Journal","The American Astronomical Society"
"17","AstroPy","apj_832_2_110.xml","apjaa4416, 10.3847/0004-637X/832/2/110, aa4416, AAS02192","astropy",0,"p","app","For each star, we estimate their individual UV flu","
<label>APPENDIX</label>
<title>EXTERNAL RADIATION",2016,"The Astrophysical Journal","The American Astronomical Society"
"18","AstroPy","apj_832_2_110.xml","apjaa4416, 10.3847/0004-637X/832/2/110, aa4416, AAS02192","astropy",0,"ext-link","p","http://docs.astropy.org/en/stable/coordinates/","
<ext-link ext-link-type=""uri"" xlink:href=""http://",2016,"The Astrophysical Journal","The American Astronomical Society"
"19","AstroPy","apj_833_2_183.xml","apjaa4577, 10.3847/1538-4357/833/2/183, aa4577, AAS01930","astropy",0,"ext-link","p","www.astropy.org","Funding for this work was provided by NASA researc",2016,"The Astrophysical Journal","The American Astronomical Society"
"20","AstroPy","apj_835_2_222.xml","apjaa5638, 10.3847/1538-4357/835/2/222, aa5638, AAS00279","astropy",0,"ext-link","p","http://www.astropy.org","
<ext-link ext-link-type=""uri"" xlink:href=""http://",2017,"The Astrophysical Journal","The American Astronomical Society"
"21","AstroPy","apj_840_1_49.xml","apjaa6aab, 10.3847/1538-4357/aa6aab, aa6aab, AAS04561","astropy",0,"p","ack","<italic>Software:</italic> Python, astropy, PSOAP.","
<p>It is a pleasure to thank the referee, Ruth An",2017,"The Astrophysical Journal","The American Astronomical Society"
"22","AstroPy","apj_840_1_57.xml","apjaa6b02, 10.3847/1538-4357/aa6b02, aa6b02, AAS03592","astropy",0,"ext-link","p","http://www.astropy.org","
<ext-link ext-link-type=""uri"" xlink:href=""http://",2017,"The Astrophysical Journal","The American Astronomical Society"
"23","AstroPy","apj_840_1_8.xml","apjaa689b, 10.3847/1538-4357/aa689b, aa689b, AAS04009","astropy",0,"p","ack","<italic>Software:</italic> CASA, Python (matplotlib, APLpy, astropy), RADEX, starlink.","
<p>We thank the anonymous referee for their comme",2017,"The Astrophysical Journal","The American Astronomical Society"
"24","AstroPy","apj_842_2_73.xml","apjaa7512, 10.3847/1538-4357/aa7512, aa7512, AAS04553","AstroPy",0,"p","ack","We thank the anonymous referee for their thoughtfu","
<p>We thank the anonymous referee for their thoug",2017,"The Astrophysical Journal","The American Astronomical Society"
"25","AstroPy","apj_842_2_73.xml","apjaa7512, 10.3847/1538-4357/aa7512, aa7512, AAS04553","astropy",0,"ext-link","p","http://www.astropy.org","We thank the anonymous referee for their thoughtfu",2017,"The Astrophysical Journal","The American Astronomical Society"
"26","AstroPy","apj_842_2_73.xml","apjaa7512, 10.3847/1538-4357/aa7512, aa7512, AAS04553","AstroPy",0,"p","ack","<italic>Software:</italic> AIPS, difmap, CASA, XSpec, SciPy, APLpy, AstroPy, matplotlib, IDL.","
<p>We thank the anonymous referee for their thoug",2017,"The Astrophysical Journal","The American Astronomical Society"
"27","AstroPy","apj_844_1_46.xml","apjaa7579, 10.3847/1538-4357/aa7579, aa7579, AAS04563","AstroPy",0,"p","ack","<italic>Software:</italic> AstroPy, EMCEE (Foreman","
<p>We thank M. Urry for the use of her program ti",2017,"The Astrophysical Journal","The American Astronomical Society"
"28","AstroPy","apj_846_1_24.xml","apjaa83b6, 10.3847/1538-4357/aa83b6, aa83b6, AAS05743","astropy",0,"monospace","p","astropy.io","Since we can reasonably rule out NLTE effects as t",2017,"The Astrophysical Journal","The American Astronomical Society"
"29","AstroPy","apj_846_1_39.xml","apjaa8460, 10.3847/1538-4357/aa8460, aa8460, AAS06217","astropy",0,"p","ack","<italic>Software:</italic> IDL, HIIphot, PPXF, MPF","
<p>This paper includes data obtained with the du ",2017,"The Astrophysical Journal","The American Astronomical Society"
"30","AstroPy","apj_849_2_91.xml","apjaa9185, 10.3847/1538-4357/aa9185, aa9185, AAS06074","astropy",0,"ext-link","p","http://www.astropy.org","This research made use of Astropy, a community-dev",2017,"The Astrophysical Journal","The American Astronomical Society"
"31","AstroPy","apj_851_1_13.xml","apjaa9929, 10.3847/1538-4357/aa9929, aa9929, AAS07309","astropy",0,"ext-link","p","http://www.astropy.org","This research made use of Astropy, a community-dev",2017,"The Astrophysical Journal","The American Astronomical Society"
"32","AstroPy","apj_853_1_81.xml","apjaaa196, 10.3847/1538-4357/aaa196, aaa196, AAS05521","astropy",0,"p","sec","To extract the flux from an image, we adopt the wi","
<label>3.3.</label>
<title>Processing the Observa",2018,"The Astrophysical Journal","The American Astronomical Society"
"33","AstroPy","apj_853_2_167.xml","apjaaa7f0, 10.3847/1538-4357/aaa7f0, aaa7f0, AAS07829","AstroPy",0,"p","ack","<italic>Software:</italic> Spextool3 (Cushing et a","
<p>AS is supported by the EACOA fellowship and ac",2018,"The Astrophysical Journal","The American Astronomical Society"
"34","AstroPy","apjl_835_1_L8.xml","apjlaa56c5, 10.3847/2041-8213/aa56c5, aa56c5, LET34440","astropy",0,"sc","p","astropy","Imaging observations were obtained in optical pass",2017,"The Astrophysical Journal Letters","The American Astronomical Society"
"35","AstroPy","apjl_851_1_L19.xml","apjlaa9d85, 10.3847/2041-8213/aa9d85, aa9d85, LET35325","astropy",0,"p","ack","<italic>Software:</italic> 3ML, pymultinest (Buchn","
<p>We thank Hans-Thomas Janka for fruitful discus",2017,"The Astrophysical Journal Letters","The American Astronomical Society"
"36","AstroPy","apjs_219_1_14.xml","apjs516561, 10.1088/0067-0049/219/1/14, 516561, ApJS97390","astropy",0,"ext-link","p","http://www.astropy.org","
<ext-link ext-link-type=""uri"" xlink:href=""http://",2015,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"37","AstroPy","apjs_230_2_20.xml","apjsaa7333, 10.3847/1538-4365/aa7333, aa7333, AAS04253","astropy",0,"ext-link","p","http://docs.astropy.org/en/stable/api/astropy.stat","Using the Astropy functionality for sigma clipping",2017,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"38","AstroPy","apjs_235_2_36.xml","apjsaab60c, 10.3847/1538-4365/aab60c, aab60c, AAS08222","AstroPy",0,"p","ack","<italic>Software:</italic> NumPy, SciPy, AstroPy, ","
<p>V.M. would like to thank Micaela Bagley for a ",2018,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
