"","Software_name","File_name","Article_id","Alias","ID","XML_tag1","XML_tag2","XML_tag1_content","XML_tag2_content","Publication_year","Journal_title","Publisher"
"1","AstroPy","aj_148_1_13.xml","aj493368, ANJOAA, 10.1088/0004-6256/148/1/13, 493368, AJ-11828","10.1051/0004-6361/201322068",1,"ext-link","nlm-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<name><",2014,"The Astronomical Journal","The American Astronomical Society"
"2","AstroPy","aj_148_1_14.xml","aj495229, ANJOAA, 10.1088/0004-6256/148/1/14, 495229, AJ-11817","10.1051/0004-6361/201322068",1,"ext-link","nlm-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<collab",2014,"The Astronomical Journal","The American Astronomical Society"
"3","AstroPy","aj_148_3_53.xml","aj499538, ANJOAA, 10.1088/0004-6256/148/3/53, 499538, AJ-12065","10.1051/0004-6361/201322068",1,"ext-link","nlm-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<collab",2014,"The Astronomical Journal","The American Astronomical Society"
"4","AstroPy","aj_148_6_122.xml","aj503145, ANJOAA, 10.1088/0004-6256/148/6/122, 503145, AJ-12079","10.1051/0004-6361/201322068",1,"ext-link","nlm-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<collab",2014,"The Astronomical Journal","The American Astronomical Society"
"5","AstroPy","aj_150_4_118.xml","aj518069, 10.1088/0004-6256/150/4/118, 518069, AJ-12620","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<comment>Astropy Collaboration,</comment>
<person",2015,"The Astronomical Journal","The American Astronomical Society"
"6","AstroPy","aj_150_4_132.xml","aj515799, 10.1088/0004-6256/150/4/132, 515799, AJ-12378","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<comment>Astropy Collaboration, </comment>
<perso",2015,"The Astronomical Journal","The American Astronomical Society"
"7","AstroPy","aj_150_5_145.xml","aj519703, 10.1088/0004-6256/150/5/145, 519703, AJ-12582","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<comment>Astropy Collaboration,</comment>
<person",2015,"The Astronomical Journal","The American Astronomical Society"
"8","AstroPy","aj_150_6_179.xml","aj520426, 10.1088/0004-6256/150/6/179, 520426, AJ-12826","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<comment>Astropy Collaboration,</comment>
<person",2015,"The Astronomical Journal","The American Astronomical Society"
"9","AstroPy","aj_150_6_189.xml","aj521446, 10.1088/0004-6256/150/6/189, 521446, AJ-12622","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<name>
",2015,"The Astronomical Journal","The American Astronomical Society"
"10","AstroPy","aj_151_2_41.xml","aj521306, 10.3847/0004-6256/151/2/41, 521306, AJ-12801","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<comment>Astropy Collaboration,</comment>
<person",2016,"The Astronomical Journal","The American Astronomical Society"
"11","AstroPy","aj_151_3_61.xml","aj522498, 10.3847/0004-6256/151/3/61, 522498, AJ-12948","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<collab",2016,"The Astronomical Journal","The American Astronomical Society"
"12","AstroPy","aj_151_4_99.xml","aj522762, 10.3847/0004-6256/151/4/99, 522762, AJ-12735","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<collab",2016,"The Astronomical Journal","The American Astronomical Society"
"13","AstroPy","aj_151_6_173.xml","aj523635, 10.3847/0004-6256/151/6/173, 523635, AJ-13030","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<name>
",2016,"The Astronomical Journal","The American Astronomical Society"
"14","AstroPy","aj_152_2_40.xml","aj523720, 10.3847/0004-6256/152/2/40, 523720, AAS00230","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<collab",2016,"The Astronomical Journal","The American Astronomical Society"
"15","AstroPy","aj_152_3_70.xml","aj523738, 10.3847/0004-6256/152/3/70, 523738, AJ-12947","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<collab",2016,"The Astronomical Journal","The American Astronomical Society"
"16","AstroPy","aj_152_5_123.xml","ajaa31cb, 10.3847/0004-6256/152/5/123, aa31cb, AAS00084","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<collab",2016,"The Astronomical Journal","The American Astronomical Society"
"17","AstroPy","aj_152_6_154.xml","ajaa2f3f, 10.3847/0004-6256/152/6/154, aa2f3f, AAS00515","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<collab",2016,"The Astronomical Journal","The American Astronomical Society"
"18","AstroPy","aj_152_6_228.xml","ajaa400d, 10.3847/1538-3881/152/6/228, aa400d, AAS01014","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<collab",2016,"The Astronomical Journal","The American Astronomical Society"
"19","AstroPy","aj_153_1_10.xml","ajaa49dc, 10.3847/1538-3881/153/1/10, aa49dc, AAS02812","10.1051/0004-6361/201322068",1,"pub-id","element-citation","10.1051/0004-6361/201322068","
<person-group person-group-type=""author"">
<collab",2017,"The Astronomical Journal","The American Astronomical Society"
