"","Software_name","File_name","Article_id","Alias","ID","XML_tag1","XML_tag2","XML_tag1_content","XML_tag2_content","Publication_year","Journal_title","Publisher"
"1","RADMC-3D","apj_750_1_64.xml","apj425281, ASJOAB, 10.1088/0004-637X/750/1/64, 425281","radmc",0,"ext-link","p","http://www.ita.uni-heidelberg.de/~dullemond/software/radmc-3d/","This code is publicly available with the permissio",2012,"The Astrophysical Journal","The American Astronomical Society"
"2","RADMC-3D","apj_757_2_129.xml","apj441353, ASJOAB, 10.1088/0004-637X/757/2/129, 441353","radmc",0,"ext-link","p","http://www.ita.uni-heidelberg.de/~dullemond/software/radmc-3d/","<ext-link ext-link-type=""url"">http://www.ita.uni-h",2012,"The Astrophysical Journal","The American Astronomical Society"
"3","RADMC-3D","apj_760_1_91.xml","apj448067, ASJOAB, 10.1088/0004-637X/760/1/91, 448067","radmc",0,"ext-link","p","http://www.ita.uni-heidelberg.de/~dullemond/software/radmc-3d/","<ext-link ext-link-type=""url"">http://www.ita.uni-h",2012,"The Astrophysical Journal","The American Astronomical Society"
"4","RADMC-3D","apj_762_2_113.xml","apj453725, ASJOAB, 10.1088/0004-637X/762/2/113, 453725","radmc",0,"ext-link","p","http://www.ita.uni-heidelberg.de/~dullemond/software/radmc-3d/","In this work, we use the radiative transfer code R",2013,"The Astrophysical Journal","The American Astronomical Society"
"5","RADMC-3D","apj_762_2_120.xml","apj452669, ASJOAB, 10.1088/0004-637X/762/2/120, 452669","radmc",0,"ext-link","p","http://www.ita.uni-heidelberg.de/~dullemond/software/radmc-3d/","<ext-link ext-link-type=""url"">http://www.ita.uni-h",2013,"The Astrophysical Journal","The American Astronomical Society"
"6","RADMC-3D","apj_771_2_129.xml","apj476413, ASJOAB, 10.1088/0004-637X/771/2/129, 476413, ApJ91573","radmc",0,"ext-link","p","http://www.ita.uni-heidelberg.de/~dullemond/software/radmc-3d/","<ext-link ext-link-type=""url"">http://www.ita.uni-h",2013,"The Astrophysical Journal","The American Astronomical Society"
"7","RADMC-3D","apj_775_2_136.xml","apj483839, ASJOAB, 10.1088/0004-637X/775/2/136, 483839, ApJ91282","radmc",0,"ext-link","p","http://www.ita.uni-heidelberg.de/~dullemond/software/radmc-3d/","<ext-link ext-link-type=""url"">http://www.ita.uni-h",2013,"The Astrophysical Journal","The American Astronomical Society"
"8","RADMC-3D","apj_784_1_61.xml","apj489106, ASJOAB, 10.1088/0004-637X/784/1/61, 489106, ApJ93049","radmc",0,"sc","p","radmc-3d","In this section, we investigate the outflow morpho",2014,"The Astrophysical Journal","The American Astronomical Society"
"9","RADMC-3D","apj_784_1_61.xml","apj489106, ASJOAB, 10.1088/0004-637X/784/1/61, 489106, ApJ93049","radmc",0,"ext-link","p","http://www.ita.uni-heidelberg.de/dullemond/software/radmc-3d/","<ext-link ext-link-type=""url"">http://www.ita.uni-h",2014,"The Astrophysical Journal","The American Astronomical Society"
"10","RADMC-3D","apj_784_1_61.xml","apj489106, ASJOAB, 10.1088/0004-637X/784/1/61, 489106, ApJ93049","radmc",0,"sc","p","radmc-3d","We post-process the simulations with <sc>radmc-3d<",2014,"The Astrophysical Journal","The American Astronomical Society"
"11","RADMC-3D","apj_784_1_80.xml","apj490928, ASJOAB, 10.1088/0004-637X/784/1/80, 490928, ApJ91662","radmc",0,"sc","p","radmcâ€“3d","The <xref ref-type=""bibr"" rid=""apj490928r96"">S11</",2014,"The Astrophysical Journal","The American Astronomical Society"
"12","RADMC-3D","apj_784_1_80.xml","apj490928, ASJOAB, 10.1088/0004-637X/784/1/80, 490928, ApJ91662","radmc",0,"ext-link","p","http://www.ita.uni-heidelberg.de/~dullemond/software/radmc-3d/","See <ext-link ext-link-type=""url"">http://www.ita.u",2014,"The Astrophysical Journal","The American Astronomical Society"
"13","RADMC-3D","apj_784_1_80.xml","apj490928, ASJOAB, 10.1088/0004-637X/784/1/80, 490928, ApJ91662","radmc",0,"sc","p","radmcâ€“3d","The <xref ref-type=""bibr"" rid=""apj490928r96"">S11</",2014,"The Astrophysical Journal","The American Astronomical Society"
"14","RADMC-3D","apj_784_1_80.xml","apj490928, ASJOAB, 10.1088/0004-637X/784/1/80, 490928, ApJ91662","radmc",0,"sc","p","radmcâ€“3d","The <xref ref-type=""bibr"" rid=""apj490928r96"">S11</",2014,"The Astrophysical Journal","The American Astronomical Society"
"15","RADMC-3D","apj_784_1_80.xml","apj490928, ASJOAB, 10.1088/0004-637X/784/1/80, 490928, ApJ91662","radmc",0,"sc","p","radmcâ€“3d","The <xref ref-type=""bibr"" rid=""apj490928r96"">S11</",2014,"The Astrophysical Journal","The American Astronomical Society"
"16","RADMC-3D","apj_788_1_14.xml","apj494964, ASJOAB, 10.1088/0004-637X/788/1/14, 494964, ApJ93164","radmc",0,"ext-link","p","http://www.ita.uni-heidelberg.de/~dullemond/software/radmc-3d/","<ext-link ext-link-type=""url"">http://www.ita.uni-h",2014,"The Astrophysical Journal","The American Astronomical Society"
"17","RADMC-3D","apj_788_1_59.xml","apj495435, ASJOAB, 10.1088/0004-637X/788/1/59, 495435, ApJ93500","radmc",0,"ext-link","p","http://www.ita.uni-heidelberg.de/~dullemond/software/radmc-3d/","<ext-link ext-link-type=""url"">http://www.ita.uni-h",2014,"The Astrophysical Journal","The American Astronomical Society"
"18","RADMC-3D","apj_799_2_235.xml","apj506796, ASJOAB, 10.1088/0004-637X/799/2/235, 506796, ApJ96541","radmc",0,"sc","p","radmc-3d","The goal of this paper is to study the distributio",2015,"The Astrophysical Journal","The American Astronomical Society"
"19","RADMC-3D","apj_799_2_235.xml","apj506796, ASJOAB, 10.1088/0004-637X/799/2/235, 506796, ApJ96541","radmc",0,"sc","p","radmc-3d","To compute the emission, we use the radiative tran",2015,"The Astrophysical Journal","The American Astronomical Society"
"20","RADMC-3D","apj_799_2_235.xml","apj506796, ASJOAB, 10.1088/0004-637X/799/2/235, 506796, ApJ96541","radmc",0,"ext-link","p","http://www.ita.uni-heidelberg.de/~dullemond/software/radmc-3d/","<ext-link ext-link-type=""url"">http://www.ita.uni-h",2015,"The Astrophysical Journal","The American Astronomical Society"
"21","RADMC-3D","apj_799_2_235.xml","apj506796, ASJOAB, 10.1088/0004-637X/799/2/235, 506796, ApJ96541","radmc",0,"sc","p","radmc-3d","Optical depth indicates the degree of transparency",2015,"The Astrophysical Journal","The American Astronomical Society"
"22","RADMC-3D","apj_799_2_235.xml","apj506796, ASJOAB, 10.1088/0004-637X/799/2/235, 506796, ApJ96541","radmc",0,"sc","p","radmc-3d","Line center optical depths calculated byâ€‰<sc>radmc",2015,"The Astrophysical Journal","The American Astronomical Society"
"23","RADMC-3D","apj_802_2_86.xml","apj509131, 10.1088/0004-637X/802/2/86, 509131, ApJ96550","radmc",0,"sc","p","radmc-3d","We use the non-local thermodynamical equilibrium r",2015,"The Astrophysical Journal","The American Astronomical Society"
