Software_name,File_name,Article_id,Alias,ID,XML_tag1,XML_tag2,XML_tag1_content,XML_tag2_content,Publication_year,Journal_title,Publisher
SAOImage DS9,aj_153_2_77.xml,"ajaa3e4a, 10.3847/1538-3881/153/2/77, aa3e4a, AJ-13031",2000ascl.soft03002S,1,ext-link,element-citation,2000ascl.soft03002S,"
<person-group person-group-type=""author"">
<collab",2017,The Astronomical Journal,The American Astronomical Society
SAOImage DS9,aj_136_6_2473.xml,"aj281332, ANJOAA, 10.1088/0004-6256/136/6/2473, 281332",2003ASPC..295..489J,1,ext-link,nlm-citation,2003ASPC..295..489J,"
<person-group person-group-type=""author"">
<name><",2008,The Astronomical Journal,The American Astronomical Society
SAOImage DS9,aj_137_6_5134.xml,"aj286921, ANJOAA, 10.1088/0004-6256/137/6/5134, 286921",2003ASPC..295..489J,1,ext-link,nlm-citation,2003ASPC..295..489J,"
<person-group person-group-type=""author"">
<name>
",2009,The Astronomical Journal,The American Astronomical Society
SAOImage DS9,aj_138_2_568.xml,"aj312473, ANJOAA, 10.1088/0004-6256/138/2/568, 312473",2003ASPC..295..489J,1,ext-link,nlm-citation,2003ASPC..295..489J,"
<person-group person-group-type=""author"">
<name><",2009,The Astronomical Journal,The American Astronomical Society
SAOImage DS9,aj_138_6_1985.xml,"aj322055, ANJOAA, 10.1088/0004-6256/138/6/1985, 322055",2003ASPC..295..489J,1,ext-link,nlm-citation,2003ASPC..295..489J,"
<person-group person-group-type=""author"">
<name><",2009,The Astronomical Journal,The American Astronomical Society
SAOImage DS9,aj_140_6_1814.xml,"aj357226, ANJOAA, 10.1088/0004-6256/140/6/1814, 357226",2003ASPC..295..489J,1,ext-link,nlm-citation,2003ASPC..295..489J,"
<person-group person-group-type=""author"">
<name>
",2010,The Astronomical Journal,The American Astronomical Society
SAOImage DS9,aj_147_3_61.xml,"aj490618, ANJOAA, 10.1088/0004-6256/147/3/61, 490618, AJ-11808",2003ASPC..295..489J,1,ext-link,nlm-citation,2003ASPC..295..489J,"
<person-group person-group-type=""author"">
<name><",2014,The Astronomical Journal,The American Astronomical Society
SAOImage DS9,aj_152_5_111.xml,"ajaa34e0, 10.3847/0004-6256/152/5/111, aa34e0, AJ-12399",2003ASPC..295..489J,1,ext-link,element-citation,2003ASPC..295..489J,"
<person-group person-group-type=""author"">
<name>
",2016,The Astronomical Journal,The American Astronomical Society
SAOImage DS9,aj_154_3_87.xml,"ajaa76e8, 10.3847/1538-3881/aa76e8, aa76e8, AAS03139",2003ASPC..295..489J,1,ext-link,element-citation,2003ASPC..295..489J,"
<person-group person-group-type=""author"">
<name>
",2017,The Astronomical Journal,The American Astronomical Society
SAOImage DS9,aj_154_6_214.xml,"ajaa9177, 10.3847/1538-3881/aa9177, aa9177, AAS06042",2003ASPC..295..489J,1,ext-link,element-citation,2003ASPC..295..489J,"
<person-group person-group-type=""author"">
<name>
",2017,The Astronomical Journal,The American Astronomical Society
