Software_name,File_name,Article_id,Alias,ID,XML_tag1,XML_tag2,XML_tag1_content,XML_tag2_content,Publication_year,Journal_title,Publisher
Spec2d,aj_152_4_83.xml,"ajaa2d14, 10.3847/0004-6256/152/4/83, aa2d14, AAS00479",10.1088/0067-0049/208/1/5,1,pub-id,element-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name>
",2016,The Astronomical Journal,The American Astronomical Society
Spec2d,aj_152_6_205.xml,"ajaa4665, 10.3847/0004-6256/152/6/205, aa4665, AAS01651",10.1088/0067-0049/208/1/5,1,pub-id,element-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name>
",2016,The Astronomical Journal,The American Astronomical Society
Spec2d,aj_153_2_58.xml,"ajaa52bd, 10.3847/1538-3881/153/2/58, aa52bd, AAS00472",10.1088/0067-0049/208/1/5,1,pub-id,element-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name>
",2017,The Astronomical Journal,The American Astronomical Society
Spec2d,apj_777_1_64.xml,"apj485417, ASJOAB, 10.1088/0004-637X/777/1/64, 485417, ApJ90852",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2013,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_777_2_116.xml,"apj485367, ASJOAB, 10.1088/0004-637X/777/2/116, 485367, ApJ88308",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2013,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_779_2_102.xml,"apj486637, ASJOAB, 10.1088/0004-637X/779/2/102, 486637, ApJ92653",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name>
",2013,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_782_1_33.xml,"apj489746, ASJOAB, 10.1088/0004-637X/782/1/33, 489746, ApJ93412",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2014,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_782_2_115.xml,"apj490330, ASJOAB, 10.1088/0004-637X/782/2/115, 490330, ApJ93150",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2014,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_782_2_79.xml,"apj489818, ASJOAB, 10.1088/0004-637X/782/2/79, 489818, ApJ92658",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2014,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_783_1_40.xml,"apj490554, ASJOAB, 10.1088/0004-637X/783/1/40, 490554, ApJ93169",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2014,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_783_1_41.xml,"apj490697, ASJOAB, 10.1088/0004-637X/783/1/41, 490697, ApJ93869",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2014,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_783_2_119.xml,"apj491015, ASJOAB, 10.1088/0004-637X/783/2/119, 491015, ApJ93102",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2014,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_788_1_88.xml,"apj495439, ASJOAB, 10.1088/0004-637X/788/1/88, 495439, ApJ93107",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2014,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_788_2_109.xml,"apj495516, ASJOAB, 10.1088/0004-637X/788/2/109, 495516, ApJ91638",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2014,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_789_2_96.xml,"apj494544, ASJOAB, 10.1088/0004-637X/789/2/96, 494544, ApJ94515",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2014,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_790_1_73.xml,"apj496506, ASJOAB, 10.1088/0004-637X/790/1/73, 496506, ApJ94617",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2014,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_791_2_113.xml,"apj497767, ASJOAB, 10.1088/0004-637X/791/2/113, 497767, ApJ93501",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2014,The Astrophysical Journal,The American Astronomical Society
Spec2d,apj_792_1_16.xml,"apj497708, ASJOAB, 10.1088/0004-637X/792/1/16, 497708, ApJ93452",10.1088/0067-0049/208/1/5,1,ext-link,nlm-citation,10.1088/0067-0049/208/1/5,"
<person-group person-group-type=""author"">
<name><",2014,The Astrophysical Journal,The American Astronomical Society
