"","Software_name","File_name","Article_id","Alias","ID","XML_tag1","XML_tag2","XML_tag1_content","XML_tag2_content","Publication_year","Journal_title","Publisher"
"1","Spec2d","10.1086_497024.xml","http://www.journals.uchicago.edu/doi/abs/10.1086/497024, APJ62607, 2005ApJ...634..977M","DEEP2 DEIMOS data pipeline",0,"p","sec","Spectra were reduced using the DEEP2 DEIMOS data p","
<label>2.2.1.<x> </x></label>
<title>Data Reducti",2005,"The Astrophysical Journal","The University of Chicago Press"
"2","Spec2d","10.1086_505562.xml","http://www.journals.uchicago.edu/doi/abs/10.1086/505562, APJ64144, 2006ApJ...647..934S","DEEP2 DEIMOS data pipeline",0,"p","sec","All DEIMOS spectra were obtained using the 600 lin","
<label>2.1.<x> </x></label>
<title>Observations a",2006,"The Astrophysical Journal","The University of Chicago Press"
"3","Spec2d","apj_698_2_1367.xml","apj302806, ASJOAB, 10.1088/0004-637X/698/2/1367, 302806","DEEP2 DEIMOS data pipeline",0,"p","sec","We obtained an optical spectrum with Keck I LRIS a","
<label>2.3.</label>
<title>Spectroscopic Observat",2009,"The Astrophysical Journal","The American Astronomical Society"
"4","Spec2d","apj_743_1_65.xml","apj405621, ASJOAB, 10.1088/0004-637X/743/1/65, 405621","DEEP2 DEIMOS data pipeline",0,"p","sec","The follow-up spectroscopic observations were carr","<label>2.2.</label><title>Keck&amp;sol;DEIMOS Spec",2011,"The Astrophysical Journal","The American Astronomical Society"
"5","Spec2d","10.1086_522908.xml","http://www.journals.uchicago.edu/doi/abs/10.1086/522908, APJ63483, 2007ApJ...671.1227D","DEEP2 DEIMOS pipeline",0,"p","sec","We processed the two&hyphen;dimensional data using","
<label>2.2.<x> </x></label>
<title>Spectroscopic ",2007,"The Astrophysical Journal","The University of Chicago Press"
"6","Spec2d","10.1086_522908.xml","http://www.journals.uchicago.edu/doi/abs/10.1086/522908, APJ63483, 2007ApJ...671.1227D","DEEP2 DEIMOS pipeline",0,"p","sec","We processed the two&hyphen;dimensional data using","
<label>2.2.<x> </x></label>
<title>Spectroscopic ",2007,"The Astrophysical Journal","The University of Chicago Press"
"7","Spec2d","apj_694_2_1517.xml","apj300515, ASJOAB, 10.1088/0004-637X/694/2/1517, 300515","DEEP2 DEIMOS pipeline",0,"p","sec","A solid identification of the CO line, and thus a ","<label>3.1.3.</label><title>Keck Spectroscopy</tit",2009,"The Astrophysical Journal","The American Astronomical Society"
"8","Spec2d","apj_696_1_214.xml","apj300430, ASJOAB, 10.1088/0004-637X/696/1/214, 300430","DEEP2 DEIMOS pipeline",0,"p","sec","The EGS, covering &ap;0.5â€‰deg<sup>2</sup>, is one ","<label>2.1.</label><title>DEEP2 Spectra</title>
<p",2009,"The Astrophysical Journal","The American Astronomical Society"
"9","Spec2d","apj_730_2_68.xml","apj380063, ASJOAB, 10.1088/0004-637X/730/2/68, 380063","DEEP2 DEIMOS pipeline",0,"p","sec","Optical spectra were obtained for objects 2 and 3 ","
<label>3.</label><title>SPECTROSCOPIC OBSERVATION",2011,"The Astrophysical Journal","The American Astronomical Society"
"10","Spec2d","10.1086_590555.xml","http://www.journals.uchicago.edu/doi/abs/10.1086/590555, APJL22825, 2008ApJ...681L..53C","DEEP2 DEIMOS pipeline",0,"p","sec","The optical spectra were taken on the Keck II tele","
<label>2.<x> </x></label>
<title>DATA</title>
<p>",2008,"The Astrophysical Journal Letters","The University of Chicago Press"
"11","Spec2d","apjl_731_2_27.xml","apjl384733, ASJOAB, 10.1088/2041-8205/731/2/L27, 384733","DEEP2 DEIMOS pipeline",0,"p","sec","The data were reduced via the modified DEEP2 DEIMO","
<label>2.</label><title>DATA</title>
<p>The avail",2011,"The Astrophysical Journal Letters","The American Astronomical Society"
"12","Spec2d","10.1086_420999.xml","AJ204018, 2004AJ....127.3121W","DEIMOS pipeline",0,"p","sec","The TKRS catalog will continue to evolve as DEIMOS","
<label>6.<x> </x></label>
<title>SUMMARY</title>
",2004,"The Astronomical Journal","The University of Chicago Press"
"13","Spec2d","aj_137_6_4956.xml","aj284635, ANJOAA, 10.1088/0004-6256/137/6/4956, 284635","DEIMOS pipeline",0,"p","sec","One potential worry when observing the CaT is the ","<label>2.2.</label><title>Keck&amp;sol;DEIMOS Data",2009,"The Astronomical Journal","The American Astronomical Society"
