Software_name,File_name,Article_id,Alias,ID,XML_tag1,XML_tag2,XML_tag1_content,XML_tag2_content,Publication_year,Journal_title,Publisher
Stingray,10.1086_301090.xml,"AJ990235, 1999AJ....118.2424S",Stingray,0,p,sec,"The list of binary companions presented by
<xref r","
<label>1.<x> </x></label>
<title>INTRODUCTION</ti",1999,The Astronomical Journal,The University of Chicago Press
Stingray,10.1086_301090.xml,"AJ990235, 1999AJ....118.2424S",Stingray,0,p,sec,"The list of binary companions presented by
<xref r","
<label>1.<x> </x></label>
<title>INTRODUCTION</ti",1999,The Astronomical Journal,The University of Chicago Press
Stingray,10.1086_307059.xml,"http://www.journals.uchicago.edu/doi/abs/10.1086/307059, APJ39100, 1999ApJ...515..633V",Stingray,0,p,sec,The shaping of NGC 2440 seems to have been strongl,"
<label>4.<x> </x></label>
<title>GENERAL CONSIDER",1999,The Astrophysical Journal,The University of Chicago Press
Stingray,10.1086_308208.xml,"http://www.journals.uchicago.edu/doi/abs/10.1086/308208, APJ40615, 2000ApJ...528..861U",Stingray,0,p,sec,"During the PPN phase, the two&hyphen;layered PPN s","
<label>4.4.<x> </x></label>
<title>From the Dual ",2000,The Astrophysical Journal,The University of Chicago Press
Stingray,10.1086_321592.xml,"http://www.journals.uchicago.edu/doi/abs/10.1086/321592, APJ53756, 2001ApJ...556..823S",Stingray,0,p,sec,"In many cases, the symmetric ansae are seen well o","
<label>1.1.<x> </x></label>
<title>The Stagnation",2001,The Astrophysical Journal,The University of Chicago Press
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,alt-title,title-group,Photometry of the Stingray Nebula (V839 Ara) from ,"
<article-title>PHOTOMETRY OF THE STINGRAY NEBULA ",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,abstract,"Up until around 1980, the Stingray was an ordinary","
<title>ABSTRACT</title>
<p>Up until around 1980, ",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,kwd,kwd-group,planetary nebulae: individual (Stingray Nebula),"
<kwd>planetary nebulae: general</kwd>
<kwd>planet",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,"The â€œStingray Nebulaâ€ (V839 Ara, SAO 244567, CD âˆ’5","
<label>1.</label>
<title>BACKGROUND</title>
<p>Th",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,"Before 1980, five spectra of the Stingray have bee","
<label>1.</label>
<title>BACKGROUND</title>
<p>Th",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,"Before 1980, five spectra of the Stingray have bee","
<label>1.</label>
<title>BACKGROUND</title>
<p>Th",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,"Before 1980, five spectra of the Stingray have bee","
<label>1.</label>
<title>BACKGROUND</title>
<p>Th",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,caption,Stingray Timeline,"
<p>Stingray Timeline</p>
",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,From the start of the 1980s event with the fast tu,"
<label>1.</label>
<title>BACKGROUND</title>
<p>Th",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,The first distance measure to the Stingray was 5.6,"
<label>1.</label>
<title>BACKGROUND</title>
<p>Th",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,The first distance measure to the Stingray was 5.6,"
<label>1.</label>
<title>BACKGROUND</title>
<p>Th",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,The expanding PN shell was resolved in 1992 by the,"
<label>1.</label>
<title>BACKGROUND</title>
<p>Th",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,The Stingray has reasonable coverage from around 1,"
<label>1.</label>
<title>BACKGROUND</title>
<p>Th",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,The Stingray has reasonable coverage from around 1,"
<label>1.</label>
<title>BACKGROUND</title>
<p>Th",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,"To get broad-band magnitudes for the Stingray, we ","
<label>2.</label>
<title>PHOTOMETRY</title>
<p>To",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,caption,Stingray Light Curve 1889â€“2014,"
<p>Stingray Light Curve 1889â€“2014</p>
",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,Another critical realization is that the emission ,"
<label>2.</label>
<title>PHOTOMETRY</title>
<p>To",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,Another critical realization is that the emission ,"
<label>2.</label>
<title>PHOTOMETRY</title>
<p>To",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,The Harvard College Observatory has a collection o,"
<label>2.1.</label>
<title>Harvard Plates</title>",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,We have constructed a light curve from 108 Harvard,"
<label>2.1.</label>
<title>Harvard Plates</title>",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,The visual comparison of targets to the comparison,"
<label>2.1.</label>
<title>Harvard Plates</title>",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,The Harvard plates light curve from 1889 to 1989 i,"
<label>2.1.</label>
<title>Harvard Plates</title>",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,The Harvard plates light curve from 1889 to 1989 i,"
<label>2.1.</label>
<title>Harvard Plates</title>",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,caption,<italic>B</italic>-band light curve of the central,"
<p><italic>B</italic>-band light curve of the cen",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,"From early 1994 until the middle of 2007, Albert J","
<label>2.2.</label>
<title>Albert Jones</title>
<",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,caption,<italic>V</italic>-band light curve of the Stingra,"
<p><italic>V</italic>-band light curve of the Sti",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,<italic>ASAS</italic> has been running an all-sky ,"
<label>2.3.</label>
<title>ASAS</title>
<p><itali",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,For the reported <italic>ASAS V</italic> magnitude,"
<label>2.3.</label>
<title>ASAS</title>
<p><itali",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,For the reported <italic>ASAS V</italic> magnitude,"
<label>2.3.</label>
<title>ASAS</title>
<p><itali",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,The resultant light curve still shows substantial ,"
<label>2.3.</label>
<title>ASAS</title>
<p><itali",2015,The Astrophysical Journal,The American Astronomical Society
Stingray,apj_812_2_133.xml,"apj520228, 10.1088/0004-637X/812/2/133, 520228, ApJ99468",Stingray,0,p,sec,"Figure <xref ref-type=""fig"" rid=""apj520228f2"">2</x","
<label>2.3.</label>
<title>ASAS</title>
<p><itali",2015,The Astrophysical Journal,The American Astronomical Society
