"","Software_name","File_name","Article_id","Alias","ID","XML_tag1","XML_tag2","XML_tag1_content","XML_tag2_content","Publication_year","Journal_title","Publisher"
"1","TARDIS","apj_831_1_79.xml","apjaa3c83, 10.3847/0004-637X/831/1/79, aa3c83, AAS01646","tardis",0,"sc","p","tardis","The electron scattering coefficient and line opaci",2016,"The Astrophysical Journal","The American Astronomical Society"
"2","TARDIS","apj_831_1_79.xml","apjaa3c83, 10.3847/0004-637X/831/1/79, aa3c83, AAS01646","tardis",0,"sc","p","tardis","The electron scattering coefficient and line opaci",2016,"The Astrophysical Journal","The American Astronomical Society"
"3","TARDIS","apj_831_1_79.xml","apjaa3c83, 10.3847/0004-637X/831/1/79, aa3c83, AAS01646","tardis",0,"sc","p","tardis","The electron scattering coefficient and line opaci",2016,"The Astrophysical Journal","The American Astronomical Society"
"4","TARDIS","apj_831_1_79.xml","apjaa3c83, 10.3847/0004-637X/831/1/79, aa3c83, AAS01646","tardis",0,"sc","p","tardis","The electron scattering coefficient and line opaci",2016,"The Astrophysical Journal","The American Astronomical Society"
"5","TARDIS","apj_831_1_79.xml","apjaa3c83, 10.3847/0004-637X/831/1/79, aa3c83, AAS01646","tardis",0,"sc","p","tardis","Electron scattering (red) and line (blue) opacitie",2016,"The Astrophysical Journal","The American Astronomical Society"
"6","TARDIS","apj_846_1_15.xml","apjaa8309, 10.3847/1538-4357/aa8309, aa8309, AAS06298","TARDIS",0,"p","sec","To explore the physical properties that distinguis","
<label>2.</label>
<title>Methodology</title>
<p>T",2017,"The Astrophysical Journal","The American Astronomical Society"
"7","TARDIS","apj_846_1_15.xml","apjaa8309, 10.3847/1538-4357/aa8309, aa8309, AAS06298","TARDIS",0,"p","sec","To explore the physical properties that distinguis","
<label>2.</label>
<title>Methodology</title>
<p>T",2017,"The Astrophysical Journal","The American Astronomical Society"
"8","TARDIS","apj_846_1_15.xml","apjaa8309, 10.3847/1538-4357/aa8309, aa8309, AAS06298","TARDIS",0,"p","sec","Specifically, for our simulations, we used TARDIS ","
<label>2.</label>
<title>Methodology</title>
<p>T",2017,"The Astrophysical Journal","The American Astronomical Society"
"9","TARDIS","apj_846_1_15.xml","apjaa8309, 10.3847/1538-4357/aa8309, aa8309, AAS06298","TARDIS",0,"p","sec","We adopt TARDIS settings similar to those in previ","
<label>2.</label>
<title>Methodology</title>
<p>T",2017,"The Astrophysical Journal","The American Astronomical Society"
"10","TARDIS","apj_846_1_15.xml","apjaa8309, 10.3847/1538-4357/aa8309, aa8309, AAS06298","TARDIS",0,"p","sec","We compare our models with observed spectra<xref r","
<label>3.</label>
<title>Results</title>
<p>We co",2017,"The Astrophysical Journal","The American Astronomical Society"
"11","TARDIS","apj_846_1_15.xml","apjaa8309, 10.3847/1538-4357/aa8309, aa8309, AAS06298","TARDIS",0,"p","sec","We compare our models with observed spectra<xref r","
<label>3.</label>
<title>Results</title>
<p>We co",2017,"The Astrophysical Journal","The American Astronomical Society"
"12","TARDIS","apj_846_1_15.xml","apjaa8309, 10.3847/1538-4357/aa8309, aa8309, AAS06298","TARDIS",0,"p","sec","To put the effects of changes in luminosity and te","
<label>3.4.</label>
<title>The Strengths of the S",2017,"The Astrophysical Journal","The American Astronomical Society"
"13","TARDIS","apj_846_1_15.xml","apjaa8309, 10.3847/1538-4357/aa8309, aa8309, AAS06298","TARDIS",0,"p","sec","It is generally suggested that the <monospace>macr","
<label>4.</label>
<title>Modeling Uncertainties</",2017,"The Astrophysical Journal","The American Astronomical Society"
"14","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","A new transients detection system called Tardis is","<label>1.</label><title>INTRODUCTION</title>
<p>Th",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"15","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","A new transients detection system called Tardis is","<label>1.</label><title>INTRODUCTION</title>
<p>Th",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"16","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","In this paper, we examine the S&sol;N performance ","<label>1.</label><title>INTRODUCTION</title>
<p>Th",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"17","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","In Section <xref ref-type=""sec"" rid=""apjs460082s2""","<label>1.</label><title>INTRODUCTION</title>
<p>Th",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"18","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","We now compare the performance of the Tardis dedis","<label>5.</label><title>COMPARISON WITH MATCHED FI",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"19","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","In addition to comparing the Tardis dedisperser de","<label>5.</label><title>COMPARISON WITH MATCHED FI",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"20","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","
<italic>Time series matched filter (MF).</italic>","<label>5.</label><title>COMPARISON WITH MATCHED FI",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"21","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","
<italic>Time series boxcar detector (Box.).</ital","<label>5.</label><title>COMPARISON WITH MATCHED FI",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"22","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","
<italic>Time series boxcar detector (Box.).</ital","<label>5.</label><title>COMPARISON WITH MATCHED FI",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"23","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","For a perfectly dedispersed pulse (where <inline-f","<label>5.</label><title>COMPARISON WITH MATCHED FI",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"24","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","Figure <xref ref-type=""fig"" rid=""apjs460082f4"">4</","<label>5.</label><title>COMPARISON WITH MATCHED FI",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"25","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","Figure <xref ref-type=""fig"" rid=""apjs460082f4"">4</","<label>5.</label><title>COMPARISON WITH MATCHED FI",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"26","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","caption","Detection performance signal-to-noise ratios, rela","<p>Detection performance signal-to-noise ratios, r",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"27","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","The MFs, for both the time series and dynamic spec","<label>5.</label><title>COMPARISON WITH MATCHED FI",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
"28","TARDIS","apjs_205_1_4.xml","apjs460082, ASJOAB, 10.1088/0067-0049/205/1/4, 460082","Tardis",0,"p","sec","Figure <xref ref-type=""fig"" rid=""apjs460082f7"">7</","<label>6.3.</label><title>Choosing Trial Dispersio",2013,"The Astrophysical Journal Supplement Series","The American Astronomical Society"
